"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","69","3.799","84.1","10.1",".","1.4",".",".","2.9",".",".",".",".",".","1.4",".",".","."
"750
Research Methods-Sociology","001","","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"753
Cmpartv&Hist Methods-Sociol","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"754
Qual Research Methods-Sociol","001","","25","3.680","48.0","40.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"756
Adv Demographic Methods","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Smr: Topics in Current Soc","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","15","3.714","40.0","53.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"910
Teaching Sociology","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"940
Smr: Sociol-Econ Change","001","","12","4.000","58.3",".",".",".",".",".",".",".",".",".",".",".","41.7",".",".","."
"952","001","","10","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"952","002","","18","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Math&Stat Applications-Soc","Course Total","","28","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"955
Smr-Qualitative Methodology","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"971
Smr:Topics-Demography&Ecol","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"982
Smr-Latin American Area","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"983
Rsch:Economic Sociology Wrkshp","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 302 of 401",""
