"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","561
001","","36","3.681","50.0","36.1","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
002","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","Course Total","","60","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-American Librarianship","569
001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","","53","3.736","56.6","34.0","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","Course Total","","78","3.821","70.5","23.1","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617
001","","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","622
001","","30","3.724","53.3","33.3","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","629
001","","62","3.623","64.5","12.9","9.7","6.5","3.2","1.6",".",".",".",".",".",".",".",".","1.6","."
"","629
002","","10","3.556","50.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0","."
"","629
003","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","Course Total","","78","3.618","60.3","17.9","9.0","5.1","3.8","1.3",".",".",".",".",".",".",".",".","2.6","."
"School Library/Media Center","641
001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Telecom&Network Mgmt-Info Sci","644
001","","27","3.712","59.3","25.9","3.7","7.4",".",".",".","3.7",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","","35","3.886","80.0","17.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Government Info Sources","653
001","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","35","3.771","65.7","25.7","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825
001","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
002","","21","3.925","81.0","14.3",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","36","3.886","75.0","22.2",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Smr-Info Storage & Retrievl","975
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Archives: Manuscripts","976
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archives: Manuscripts Adm","977
001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
