"COMPARATIVE LITERATURE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","",""
"Intro to Mod & Contemp Lit","202","001","108","3.222","19.4","31.5","32.4","11.1","4.6",".","0.9",".",".",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","203","001","113","3.350","12.4","54.9","23.9","8.0","0.9",".",".",".",".",".",".",".",".",".",".","."
"Race & Ethnicity-In&Beyond US","205","001","108","3.271","19.4","31.5","38.0","7.4","0.9","1.9",".","0.9",".",".",".",".",".",".",".","."
"Intro to Lit Forms-Honors","289","001","14","3.787","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Movements & Trends","372","001","19","3.533","47.4","31.6","10.5",".",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar","690","001","14","3.769","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Senior Thesis","692","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","6","3.882","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.931","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Ideas","768","001","20","3.447","25.0","50.0","10.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Lit & Related Disciplines","775","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","2","***","","","","","","","","","","","","","","","",""
