"","ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","301","3.228","32.9","21.6","21.9","14.0","5.3","3.3","0.7","0.3",".",".",".",".",".",".",".","."
"","100","002","","238","2.849","10.1","12.6","41.6","15.5","14.7","3.8","0.4","0.8",".",".",".",".",".","0.4",".","."
"Weather and Climate","","Course Total","","539","3.062","22.8","17.6","30.6","14.7","9.5","3.5","0.6","0.6",".",".",".",".",".","0.2",".","."
"Weather and Climate","101","001","","91","3.253","38.5","20.9","18.7","9.9","6.6","4.4","1.1",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","","24","3.042","33.3","12.5","20.8","12.5","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","","91","3.606","62.6","16.5","9.9","6.6","1.1",".","2.2",".",".",".",".",".",".","1.1",".","."
"Weather for Pilots","152","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Weather Anal&Forecast","252","001","","12","3.167","8.3","25.0","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","","25","2.520","12.0","12.0","20.0","28.0","8.0","16.0","4.0",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","","22","3.386","36.4","31.8","22.7",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","401","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","","6","3.200","33.3",".","33.3",".","16.7",".",".",".","16.7",".",".",".",".",".",".","."
"Topics in Meteorology","","Course Total","","14","3.613","71.4",".","14.3",".","7.1",".",".",".","7.1",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radar & Satellite Meteorology","441","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","","19","3.289","21.1","26.3","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Num Technique-Weather Predictn","471","001","","10","3.444","20.0","50.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Teachr Wkshp-Earth Sys Sci-Web","509","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tropical Meteorology","522","001","","17","3.029","17.6","29.4","23.5","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","","11","3.273","27.3","18.2","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cloud Physics","637","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","","15","3.533","46.7","20.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Atmospheric Sys","650","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","801","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","907","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","907","002","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","","Course Total","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar-Climatology","925","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Oceanography","965","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Earth System Sci Seminar","980","001","","14","",".",".",".",".",".",".",".","7.1",".","92.9",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 258 of 401",""
