"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
016","14","2.857","7.1","21.4","35.7","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","226
017","17","3.441","29.4","35.3","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","226
018","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
019","12","3.292","33.3","16.7","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
020","13","3.000","7.7","23.1","46.2","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","226
021","10","2.800","10.0",".","50.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","226
022","17","3.412","23.5","35.3","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","384","3.367","32.3","25.3","29.7","5.7","4.4","0.8",".","1.3","0.3",".",".",".",".",".",".","0.3"
"Latin America-Introduction","260
001","22","3.159","13.6","31.8","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
001","21","3.286","38.1","19.0","28.6",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","311
002","22","3.190","18.2","18.2","54.5",".",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","311
003","23","3.261","34.8","13.0","30.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","311
004","21","3.595","47.6","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","20","3.250","20.0","30.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","311
006","20","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","19","3.000","15.8","10.5","36.8","21.1","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","008
311","18","2.806","5.6","22.2","38.9","5.6","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","311
009","17","3.029","5.9","5.9","76.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","181","3.221","23.8","22.1","38.1","7.2","6.1","1.7",".","1.1",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","24","3.646","58.3","12.5","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","21","3.095","42.9","9.5","14.3","9.5","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","320
002","21","3.548","42.9","33.3","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","320
003","22","3.295","36.4","22.7","22.7","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","320
004","24","3.354","45.8","16.7","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","88","3.324","42.0","20.5","17.0","8.0","10.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"","322
001","25","3.440","44.0","20.0","20.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","322
002","20","3.600","55.0","25.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","322
003","21","3.333","38.1","14.3","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","66","3.455","45.5","19.7","21.2","7.6","6.1",".",".",".",".",".",".",".",".",".",".","."
"","324
001","23","3.652","73.9","13.0","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","324
002","26","3.250","19.2","26.9","42.3","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","49","3.439","44.9","20.4","24.5","6.1","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Advanced Conversation","325
001","24","3.333","33.3","20.8","20.8","4.2","4.2","4.2",".","12.5",".",".",".",".",".",".",".","."
"","326
001","22","3.409","45.5","18.2","27.3",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","326
002","23","3.630","73.9","4.3","13.0",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","326
003","22","3.409","45.5","18.2","31.8",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","326
004","22","3.432","40.9","31.8","22.7",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","89","3.472","51.7","18.0","23.6",".","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"","327
001","24","3.396","29.2","33.3","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","327
002","24","3.167","29.2","8.3","45.8",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","327
003","23","3.174","34.8","13.0","34.8","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","71","3.246","31.0","18.3","36.6","2.8","9.9",".","1.4",".",".",".",".",".",".",".",".","."
"Spanish for Business","329
001","23","3.318","17.4","30.4","43.5","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
