"","990
048","5","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
071","1","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","6","",".",".",".",".","",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"Seminar in Genetics","993
001","5","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"MD GENET
616","Dept. Total","619","3.906","84.8","6.9","5.5","1.8","",".","",".","",".","1.0","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","99","3.990","98.0","2.0",".",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","59","3.991","98.3","1.7",".",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","225","3.986","97.8","1.8","0.4",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","405","3.988","98.0","1.7","0.2",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","2","3.333","50.0",".","50.0",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","48","3.744","60.4","16.7","6.3","4.2","",".","",".","",".","12.5","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","163","3.663","60.1","17.2","17.8","4.9","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","1","2.500",".",".",".","100.0","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","164","3.655","59.8","17.1","17.7","5.5","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","619","3.906","84.8","6.9","5.5","1.8","",".","",".","",".","1.0","",".",".",".","",".","",".",".",".","."
