"ART DEPARTMENT","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Intermediate Drawing II","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414","001","7","3.357","57.1","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Installations & Environmnts","418","002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","422","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","","Course Total","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gem Cutting","444","001","11","3.409","45.5","27.3","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","448","001","8","3.375","37.5","50.0",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","448","002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","003","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","005","19","3.692","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","006","10","3.980","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","53","3.748","66.0","24.5","7.5",".",".","1.9",".",".",".",".",".",".",".",".",".","."
"Concept&Methodol of Figuration","452","001","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454","001","8","3.375","37.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Communication Design","458","001","17","3.206","11.8","35.3","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466","001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","7","3.676","28.6","57.1",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Colloquium in Art","508","001","116","3.713","74.1","12.1","6.9",".","4.3",".","1.7",".",".",".",".",".","0.9",".",".","."
"Advanced Drawing I","512","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Lithography","516","001","13","3.750","61.5","23.1",".","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Artist's Video","518","001","8","3.125","37.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","524","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","524","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","10","3.500","40.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","6","3.656","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546","001","14","3.679","57.1","35.7",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","9","3.333","44.4","22.2","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"","556","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","556","002","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 70 of 401"
