"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","9787","3.191","34.6","14.7","18.7","","7.0 Name? Name? Name? Name? Name? Name? Name? Name? Name? Name? Name?","","","","","","","","","","","#Name?"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","881","2.772","20.9","14.9","19.0","13.5","22.5","5.0","2.4",".","0.1","1.1",".",".","0.5",".",".","0.2"
"Sophomore","","1365","3.110","34.2","16.7","20.1","10.5","13.8","2.3","0.8","0.1",".","1.3",".",".",".",".","0.1","."
"Junior","","1719","3.146","35.5","15.7","23.2","8.7","11.9","2.9","1.0","0.3","0.1","0.3",".",".",".",".","0.2","0.1"
"Senior","","3482","3.237","38.6","16.5","22.6","7.2","9.3","2.5","0.9","1.5","0.0","0.1",".",".","0.3","0.1","0.3","."
"Undergraduates","","7447","3.134","35.0","16.1","21.8","8.9","12.3","2.8","1.1","0.8","0.0","0.5",".",".","0.2","0.1","0.2","0.0"
"Special","","144","3.372","33.3","20.1","20.8","2.8","5.6","0.7","0.7","11.8",".",".",".",".","0.7","1.4","2.1","."
"Graduate","","2074","3.688","33.8","8.9","7.0","0.4","0.4","0.0",".","42.3","0.2",".",".","5.2","0.7",".","1.0","."
"Prof Yr 1","","107","3.136","26.2","21.5","26.2","7.5","16.8",".","0.9","0.9",".",".",".",".",".",".",".","."
"Prof Yr 2","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","17","3.839","47.1","17.6","5.9",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Prof Yr 4","","5","4.000","60.0",".",".",".",".",".",".","20.0",".",".",".","20.0",".",".",".","."
"Professionals","","131","3.214","30.5","19.8","22.9","6.1","13.7",".","0.8","5.3",".",".",".","0.8",".",".",".","."
"","College Total","9796","3.191","34.7","14.7","18.7","7.0","9.7","2.2","0.9","9.8","0.1","0.4",".","1.1","0.3","0.1","0.4","0.0"
