"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"231
Survey-Nuclear Engineering","001","","28","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"405
Nuclear Reactor Theory","001","","38","3.289","34.2","13.2","36.8","7.9","7.9",".",".",".",".",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","38","3.211","18.4","31.6","26.3","21.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"412
Nuclear Reactor Design","001","","21","3.366","47.6","9.5","23.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","11","3.227","18.2","18.2","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","12","2.958","33.3","8.3","25.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"476
Intro-Sci Comput for Engr Phys","001","","8","3.750","37.5","37.5",".",".",".",".",".",".",".",".",".",".","12.5","12.5",".","."
"489","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"506
Monte Carlo Radiatn Transport","001","","11","3.050","36.4","9.1","18.2","18.2",".",".","9.1",".",".",".",".",".","9.1",".",".","."
"525
Introduction to Plasmas","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"536
Power-Thermonuclear Fusion","001","","17","3.265","23.5","41.2","11.8","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"548
Engineering Analysis II","001","","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"566
Cryogenics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","24","2.896","16.7","25.0","29.2","12.5","4.2","8.3","4.2",".",".",".",".",".",".",".",".","."
"699
Advanced Independent Study","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","36","",".",".",".",".",".",".",".","86.1","2.8",".",".","11.1",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
