"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"473
Plant-Insect Interactions","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Ecology of Fishes","001","","68","2.860","16.2","8.8","44.1","7.4","19.1","1.5","2.9",".",".",".",".",".",".",".",".","."
"511","001","","18","3.417","38.9","22.2","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"511","002","","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","33","3.455","36.4","27.3","30.3","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","87","3.119","25.3","10.3","40.2","8.0","10.3","2.3",".","2.3",".",".",".",".",".","1.1",".","."
"521","006","","8","2.800","25.0",".","12.5",".","12.5","12.5",".","25.0",".",".",".",".",".","12.5",".","."
"521","007","","15","3.400","60.0",".","26.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"521","008","","12","3.292","66.7","8.3",".",".","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"521","009","","15","3.300","46.7","26.7","6.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Field Ornithology","Course Total","","50","3.277","52.0","10.0","12.0","2.0","8.0","8.0","2.0","4.0",".",".",".",".",".","2.0",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","34","3.328","35.3","8.8","35.3","11.8","2.9",".",".","5.9",".",".",".",".",".",".",".","."
"535
Ecosystem Analysis","001","","25","3.958","88.0","8.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"548
Ecology of Rivers and Streams","001","","24","3.438","37.5","37.5","16.7",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"572
Laboratory in Cell Biology","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Comparatv&Evolutionry Physiol","001","","71","3.130","32.4","16.9","23.9","5.6","14.1","1.4","2.8","1.4",".",".",".",".",".",".","1.4","."
"612
Comparative Physiology Lab","001","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"677
Internship in Ecology","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"680","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"680","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
