"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","129","2.930","20.2","17.8","33.3","10.1","9.3","3.9","4.7","0.8",".",".",".",".",".",".",".","."
"","101
002","66","3.214","16.7","33.3","30.3","10.6","3.0",".","1.5","3.0",".",".",".",".","1.5",".",".","."
"","101
003","59","3.025","11.9","25.4","42.4","13.6","1.7","1.7","3.4",".",".",".",".",".",".",".",".","."
"","101
004","67","2.985","19.4","20.9","34.3","6.0","10.4","4.5","3.0","1.5",".",".",".",".",".",".",".","."
"","101
005","61","3.402","34.4","36.1","21.3","1.6","3.3","1.6","1.6",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","382","3.078","20.4","25.1","32.5","8.6","6.3","2.6","3.1","1.0",".",".",".",".","0.3",".",".","."
"","210
001","78","3.175","33.3","21.8","15.4","10.3","14.1","3.8",".",".",".",".",".",".",".","1.3",".","."
"","210
002","74","2.939","39.2","17.6","10.8","5.4","10.8","8.1","8.1",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","152","3.060","36.2","19.7","13.2","7.9","12.5","5.9","3.9",".",".",".",".",".",".","0.7",".","."
"","211
001","118","3.219","45.8","14.4","11.0","8.5","5.1","7.6","2.5","3.4",".",".",".",".",".","1.7",".","."
"","211
002","123","2.821","16.3","13.0","35.0","10.6","12.2","8.9","1.6","1.6",".",".",".",".",".","0.8",".","."
"","211
003","17","3.344","52.9","17.6","5.9",".","11.8",".","5.9","5.9",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","258","3.034","32.2","14.0","22.1","8.9","8.9","7.8","2.3","2.7",".",".",".",".",".","1.2",".","."
"","241
001","153","3.253","35.9","24.2","19.0","10.5","5.2","1.3","3.3",".",".",".",".",".",".","0.7",".","."
"","241
003","71","3.232","19.7","32.4","28.2","12.7","2.8",".","1.4","2.8",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","224","3.247","30.8","26.8","21.9","11.2","4.5","0.9","2.7","0.9",".",".",".",".",".","0.4",".","."
"","341
001","71","3.329","25.4","29.6","32.4","7.0","4.2",".",".","1.4",".",".",".",".",".",".",".","."
"","341
002","67","3.106","14.9","32.8","23.9","17.9","7.5",".","1.5","1.5",".",".",".",".",".",".",".","."
"","341
091","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","15","3.333","13.3","53.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","216","3.411","35.2","30.1","20.8","8.8","3.7",".","0.5","0.9",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430
001","56","3.336","14.3","51.8","26.8","3.6",".",".","1.8",".",".",".",".",".",".","1.8",".","."
"History-Modern Philosophy","432
001","62","3.183","24.2","27.4","19.4","17.7","4.8","3.2",".","1.6",".",".",".",".",".",".","1.6","."
"French Philos-Existentialsm","440
001","63","2.960","22.2","19.0","31.7","7.9","9.5","6.3","3.2",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","48","3.404","33.3","31.3","20.8","10.4",".","2.1",".","2.1",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","17","3.294","35.3","35.3","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","18","3.111","16.7","38.9","22.2","16.7",".",".","5.6",".",".",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","17","3.438","29.4","23.5","41.2",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","12","3.167","25.0","33.3","16.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"Spec Topics Phil of Lang","517
001","10","3.222","60.0",".","10.0",".","10.0",".","10.0",".",".",".",".",".",".","10.0",".","."
"Freedom Fate and Choice","530
001","26","3.680","42.3","46.2","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Modern Philosophies of Ed","540
001","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","18","3.529","44.4","11.1","38.9",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Philos of Moral Education","550
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","24","3.190","12.5","33.3","20.8","16.7","4.2",".",".","12.5",".",".",".",".",".",".",".","."
"Philos of Artificial Sci","554
001","14","3.357","35.7","21.4","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Social Philosophy","557
001","13","3.462","46.2","46.2",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","18","2.889","5.6","27.8","33.3","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565
001","11","3.611","27.3","45.5","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Senior Honors Seminar","582
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 273 of 401",""
