"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","240
001","42","2.238","16.7","7.1","16.7","11.9","19.0","14.3","14.3",".",".",".",".",".",".",".",".","."
"","302
001","48","2.778","20.8","6.3","31.3","14.6","10.4","4.2","6.3","6.3",".",".",".",".",".",".",".","."
"","302
002","48","2.576","10.4","2.1","33.3","20.8","18.8","8.3","2.1",".","2.1",".",".",".",".","2.1",".","."
"","302
004","13","3.038","30.8",".","53.8","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","302
005","18","3.000","33.3",".","22.2","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","302
006","18","2.971","33.3","16.7","16.7","11.1","5.6",".","11.1","5.6",".",".",".",".",".",".",".","."
"","302
007","15","2.536","13.3",".","26.7","20.0","26.7",".","6.7","6.7",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","160","2.765","20.6","4.4","30.6","18.1","12.5","4.4","5.0","3.1","0.6",".",".",".",".","0.6",".","."
"Prob Solvng Using Computers","310
001","258","3.128","19.4","14.7","48.1","10.9","5.0","1.2","0.4","0.4",".",".",".",".",".",".",".","."
"","352
001","10","3.100","30.0","20.0","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","352
002","34","2.721","23.5","17.6","14.7","14.7","11.8","11.8","5.9",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","44","2.807","25.0","18.2","13.6","15.9","13.6","9.1","4.5",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","52","2.846","25.0","13.5","21.2","9.6","21.2","7.7","1.9",".",".",".",".",".",".",".",".","."
"","367
001","26","2.942","26.9","15.4","23.1","11.5","15.4","3.8","3.8",".",".",".",".",".",".",".",".","."
"","367
002","48","3.141","22.9","29.2","20.8","10.4","8.3","2.1","2.1","4.2",".",".",".",".",".",".",".","."
"","367
003","47","3.076","23.4","23.4","19.1","17.0","12.8",".","2.1","2.1",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","121","3.072","24.0","24.0","20.7","13.2","11.6","1.7","2.5","2.5",".",".",".",".",".",".",".","."
"Learn New Programming Lang","368
001","40","",".",".",".",".",".",".",".",".",".","97.5","2.5",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","82","2.858","17.1","17.1","35.4","8.5","9.8","7.3","3.7","1.2",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","13","3.077","61.5","7.7",".","7.7","7.7",".","15.4",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Numerical Analysis","514
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theoretical Comp Sci","520
001","15","3.100","20.0","33.3","26.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","18","2.583","27.8","5.6","16.7","11.1","22.2","5.6","11.1",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","47","3.261","36.2","6.4","34.0","14.9","6.4",".",".","2.1",".",".",".",".",".",".",".","."
"","537
001","10","3.684","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
002","53","3.218","34.0","26.4","18.9","7.5","5.7","1.9","3.8","1.9",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","63","3.292","36.5","28.6","17.5","6.3","4.8","1.6","3.2","1.6",".",".",".",".",".",".",".","."
"Thry & Desgn-Progrmg Langs","538
001","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","39","2.872","20.5","17.9","30.8","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552
001","10","3.000","20.0","10.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","29","3.162","17.2","20.7","44.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"","577
001","36","3.681","75.0","19.4",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","577
002","40","3.700","70.0","20.0","5.0",".","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","76","3.691","72.4","19.7","2.6",".","1.3",".","3.9",".",".",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","19","3.235","26.3","15.8","26.3","15.8","5.3",".",".","5.3",".",".",".",".",".",".","5.3","."
"Intro to Information Security","642
001","23","3.455","34.8","30.4","17.4","13.0",".",".",".","4.3",".",".",".",".",".",".",".","."
"Senior Thesis","691
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
