"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Watercolor I","242
001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","13","3.875","69.2","23.1",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","24","3.761","62.5","25.0","4.2","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"","302
001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","23","3.609","47.8","26.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
322","","12","3.500","25.0","58.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","25","3.660","48.0","40.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","Course Total","","17","3.824","82.4",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
002","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","9","3.625","55.6","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","11.1","."
"Serigraphy","336
001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","20","3.750","70.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","376
001","","13","3.115","7.7","38.5","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","25","3.300","16.0","44.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
