"","699
007","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
008","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
015","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Project","Course Total","19","3.316","84.2",".","5.3",".",".","",".","10.5",".","",".",".","",".","",".",".",".",".","."
"DANCE
741","Dept. Total","790","3.706","65.2","15.6","5.8","1.5","0.8","",".","0.6","10.3","",".",".","",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","76","3.602","71.1","14.5","10.5","1.3",".","",".","1.3","1.3","",".",".","",".","",".",".",".",".","."
"Sophomore","","127","3.632","71.7","15.0","6.3","1.6","0.8","",".","1.6","3.1","",".",".","",".","",".",".",".",".","."
"Junior","","132","3.702","67.4","21.2","6.1","3.0","0.8","",".",".","1.5","",".",".","",".","",".",".",".",".","."
"Senior","","394","3.746","62.9","13.7","5.1","1.3","0.8","",".","0.5","15.5","",".",".","",".","",".","0.3",".",".","."
"Undergraduates","","729","3.700","66.1","15.4","6.0","1.6","0.7","",".","0.7","9.3","",".",".","",".","",".","0.1",".",".","."
"Special","","13","3.700","69.2","23.1",".",".","7.7","",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","45","3.833","46.7","17.8","4.4",".",".","",".",".","28.9","",".",".","",".","",".","2.2",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","790","3.706","65.2","15.6","5.8","1.5","0.8","",".","0.6","10.3","",".",".","",".","",".","0.3",".",".","."
