"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","",""
"Intro Medieval Studies-Honors","185","001","22","3.386","40.9","22.7","22.7","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","11","3.486","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Medieval Lit","551","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"MEDIEVAL
633","","Dept. Total","52","3.503","42.3","32.7","15.4","7.7",".","1.9",".",".",".",".",".",".",".",".",".","."
