"","990
036","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
086","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","27","",".",".",".",".",".",".","",".","92.6","",".",".",".","7.4",".",".",".","."
"POP HLTH
810","Dept. Total","577","3.703","61.5","16.3","9.7","1.9","1.4","0.2","",".","6.9","",".",".",".","1.6","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","3.714","75.0",".",".",".","25.0",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","19","3.000","47.4","5.3","10.5","15.8","21.1",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","57","3.615","70.2","7.0","15.8","1.8","3.5",".","",".","1.8","",".",".",".",".",".",".",".","."
"Undergraduates","","80","3.471","65.0","6.3","13.8","5.0","8.8",".","",".","1.3","",".",".",".",".",".",".",".","."
"Special","","12","3.864","75.0","16.7",".",".",".",".","",".",".","",".",".",".",".","8.3",".",".","."
"Graduate","","150","3.725","53.3","22.0","6.7","0.7",".",".","",".","16.0","",".",".",".","1.3",".",".",".","."
"Prof Yr 1","","174","3.752","72.4","8.0","17.2","1.7","0.6",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 2","","39","3.775","56.4","41.0","2.6",".",".",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","8","2.950","37.5","12.5",".",".",".","12.5","",".","12.5","",".",".",".",".","25.0",".",".","."
"Prof Yr 4","","114","3.764","55.3","20.2","3.5","2.6",".",".","",".","12.3","",".",".",".","6.1",".",".",".","."
"Professionals","","335","3.747","63.9","16.1","10.4","1.8","0.3","0.3","",".","4.5","",".",".",".","2.1","0.6",".",".","."
"","Dept. Total","577","3.703","61.5","16.3","9.7","1.9","1.4","0.2","",".","6.9","",".",".",".","1.6","0.5",".",".","."
