"MEDICAL PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","57","",".",".",".",".",".","",".",".","75.4","",".",".",".","24.6",".",".",".","."
"MED PHYS
621","Dept. Total","255","3.563","36.1","21.6","14.5","3.1","0.8","",".","0.4","17.6","",".",".",".","5.5","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","",""
"Junior","","8","3.500","37.5","25.0","37.5",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","26","3.267","26.9","19.2","23.1","15.4","7.7","",".",".","7.7","",".",".",".",".",".",".",".","."
"Undergraduates","","34","3.318","29.4","20.6","26.5","11.8","5.9","",".",".","5.9","",".",".",".",".",".",".",".","."
"Special","","4","3.667","50.0","25.0","25.0",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","217","3.607","36.9","21.7","12.4","1.8",".","",".","0.5","19.8","",".",".",".","6.5","0.5",".",".","."
"","Dept. Total","255","3.563","36.1","21.6","14.5","3.1","0.8","",".","0.4","17.6","",".",".",".","5.5","0.4",".",".","."
