"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"470
001
Engr Prob Solving with Comptrs","28","3.893","85.7","10.7",".","3.6",".",".",".",".",".","",".",".","",".","",".",".",".","."
"497
001
Technical Editing","13","3.962","92.3","7.7",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"499
024
Senior Independent Study","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"518
001
Quality Engr & Quality Mgmnt","23","3.826","78.3","8.7","13.0",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"519
001
Engr/Bus Data Communications","22","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"530
001","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"530
002","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"530
003","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Adv Technical Japanese Smr","7","3.857","71.4","28.6",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"617
001
Communicating Technical Info","28","3.889","75.0","21.4",".",".",".",".",".",".",".","",".",".","",".","","3.6",".",".","."
"621
001
Engine Design I","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"630
001
Rsch-Japanese Technical Lit","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
001","14","3.963","92.9","7.1",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"002
690","43","3.779","72.1","16.3","9.3",".","2.3",".",".",".",".","",".",".","",".","",".",".",".","."
"690
003","16","3.792","68.8","6.3","12.5",".",".",".",".","12.5",".","",".",".","",".","",".",".",".","."
"690
004","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
005","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
007","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
008","11","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
009","10","3.944","80.0","10.0",".",".",".",".",".",".",".","",".",".","",".","","10.0",".",".","."
"Course Total
Special Topics in E P D","115","3.847","76.5","11.3","8.7",".","0.9",".",".","1.7","",".",".","",".","",".","0.9",".",".","."
"699
018","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"699
033","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"699
044","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Independent Study","3","***","","","","","","","","","","","","","","","","","","",""
"E P D
Dept. Total
348","838","3.602","49.5","24.8","13.7","2.7","1.2","0.4","0.6","6.3","",".",".","",".","",".","0.6","0.1",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","79","3.269","26.6","32.9","20.3","10.1","3.8",".","2.5","3.8","",".",".","",".","",".",".",".",".","."
"Sophomore","98","3.445","25.5","26.5","12.2","2.0","1.0",".","1.0","31.6","",".",".","",".","",".",".",".",".","."
"Junior","83","3.536","42.2","24.1","13.3","1.2","2.4","1.2",".","15.7","",".",".","",".","",".",".",".",".","."
"Senior","388","3.545","49.5","27.6","17.0","2.8","1.0","0.5","0.5","0.5","",".",".","",".","",".","0.3","0.3",".","."
"Undergraduates","648","3.506","42.1","27.6","16.2","3.4","1.5","0.5","0.8","7.6","",".",".","",".","",".","0.2","0.2",".","."
"Special","15","3.826","46.7","26.7",".",".",".",".",".","13.3","",".",".","",".","",".","13.3",".",".","."
"Graduate","174","3.856","77.6","14.4","5.7","0.6",".",".",".","0.6","",".",".","",".","",".","1.1",".",".","."
"Prof Yr 4","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Dept. Total","838","3.602","49.5","24.8","13.7","2.7","1.2","0.4","0.6","6.3","",".",".","",".","",".","0.6","0.1",".","."
