"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","190","2.553","3.2","14.7","23.7","33.2","15.3","5.3","4.2",".",".",".",".",".",".","0.5",".","."
"","201
002","81","2.575","6.2","13.6","16.0","35.8","18.5","7.4","1.2",".","1.2",".",".",".",".",".",".","."
"Statics","Course Total","271","2.559","4.1","14.4","21.4","33.9","16.2","5.9","3.3",".","0.4",".",".",".",".","0.4",".","."
"","202
001","60","2.625","13.3","6.7","28.3","8.3","36.7","6.7",".",".",".",".",".",".",".",".",".","."
"","002
202","33","2.803","12.1","3.0","51.5","12.1","15.2","6.1",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","93","2.688","12.9","5.4","36.6","9.7","29.0","6.5",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","78","2.295","2.6","10.3","20.5","10.3","46.2","3.8","6.4",".",".",".",".",".",".",".",".","."
"","307
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","10","3.300","50.0",".","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","307
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","8","3.250","37.5","25.0","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","307
008","13","3.192","30.8","23.1","23.1",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"","307
009","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","70","3.443","42.9","24.3","21.4","1.4","10.0",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","31","3.633","67.7","9.7","3.2","9.7","6.5",".",".",".",".",".",".",".","3.2",".",".","."
"Undergrad Rheology Seminar","425
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composite Materials","508
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","24","3.295","29.2","25.0","20.8","4.2","12.5",".",".","8.3",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","73","2.993","34.2","13.7","16.4","12.3","13.7","6.8","2.7",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","29","3.500","41.4","24.1","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","36","3.403","36.1","30.6","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","599
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
599","24","2.500",".",".","4.2","4.2","4.2",".",".","87.5",".",".",".",".",".",".",".","."
"Independent Study","Course Total","25","2.750",".",".","8.0","4.0","4.0",".",".","84.0",".",".",".",".",".",".",".","."
"","601
001","12","3.292","16.7","25.0","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","25","3.580","44.0","28.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","25","2.720","12.0","16.0","28.0","16.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Adv Topics-Finite Elements","705
001","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
