"Intro to Clinical Trials I","542
001","","22","3.690","50.0","31.8","13.6",".","","",".",".","",".","",".",".","",".",".","",".","","4.5",".",".","."
"Independent Study","699
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Bioinformatics","776
001","","6","3.500","33.3","33.3","33.3",".","","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","7","4.000","14.3",".",".",".","","",".",".","",".","","85.7",".","",".",".","",".","",".",".",".","."
"B M I
210","Dept. Total","","36","3.665","41.7","25.0","13.9","",".","",".","",".","",".","16.7","",".",".","",".","",".","2.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","17","3.656","47.1","29.4","17.6","",".","",".","",".","",".",".","",".",".","",".","",".","5.9",".",".","."
"Graduate","","","18","3.647","33.3","22.2","11.1","",".","",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","36","3.665","41.7","25.0","13.9","",".","",".","",".","",".","16.7","",".",".","",".","",".","2.8",".",".","."
