"","990
009","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
018","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
028","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"M S & E
636","Dept. Total","511","3.514","44.0","18.6","18.6","4.1","2.3","0.2","",".","8.6","0.4",".","",".","2.7","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.346","33.3","16.7","50.0",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","85","3.441","38.8","18.8","36.5","4.7","1.2",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","","105","3.401","37.1","26.7","21.0","6.7","6.7","1.0","",".",".","1.0",".","",".",".",".",".",".","."
"Senior","","135","3.577","53.3","25.2","13.3","5.9","2.2",".","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","","337","3.480","43.9","23.7","22.8","5.6","3.3","0.3","",".",".","0.3",".","",".",".",".",".",".","."
"Special","","1","3.000",".",".","100.0",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Graduate","","173","3.654","44.5","8.7","9.8","1.2","0.6",".","",".","25.4","0.6",".","",".","8.1","0.6",".","0.6","."
"","Dept. Total","511","3.514","44.0","18.6","18.6","4.1","2.3","0.2","",".","8.6","0.4",".","",".","2.7","0.2",".","0.2","."
