"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"475","006","","16","3.500","37.5","43.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","","98","3.360","23.5","35.7","27.6","7.1","3.1",".",".",".",".",".",".",".","3.1",".",".","."
"476
Contemporary Soc Theory","001","","14","3.357","42.9","28.6","14.3",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"496","001","","16","2.813","12.5","25.0","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"496","004","","14","3.571","57.1","21.4","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","","30","3.167","33.3","23.3","23.3","10.0","3.3",".","6.7",".",".",".",".",".",".",".",".","."
"497
Study Abroad in Sociology","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Intro-Social Psychology","001","","48","2.688","6.3","12.5","27.1","33.3","16.7","2.1","2.1",".",".",".",".",".",".",".",".","."
"531
Sociology of Medicine","001","","24","3.507","33.3","45.8","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"532
Hlth Care Iss:Ind, Fam, Soc","001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Knowledge and Society","001","","16","3.344","25.0","43.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"623
Gender, Society & Politics","001","","18","3.700","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"624
Political Sociology","001","","25","3.146","40.0","20.0","12.0","8.0","4.0","8.0","4.0","4.0",".",".",".",".",".",".",".","."
"645
Modern American Communities","001","","23","2.690","8.7","17.4","17.4","17.4","39.1",".",".",".",".",".",".",".",".",".",".","."
"646
Race and Ethnic Relations","001","","16","3.043","25.0","25.0","18.8","6.3","12.5",".","6.3","6.3",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","17","3.313","23.5","41.2","17.6","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"652
Sociol-Economic Institutions","001","","18","3.048","44.4","11.1","11.1","5.6","11.1",".","11.1",".",".",".",".",".",".","5.6",".","."
"676
Appl Demogrphy-Planning&Policy","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"693
Pract-Analysis & Research","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","49","3.765","83.7","8.2",".","2.0",".",".","4.1",".",".",".",".",".","2.0",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 301 of 401",""
