"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","72","2.993","16.7","23.6","38.9","5.6","5.6","4.2","4.2",".",".",".",".",".",".",".","1.4","."
"215","002","","145","2.976","23.4","14.5","29.7","11.0","16.6","3.4","1.4",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","217","2.981","21.2","17.5","32.7","9.2","12.9","3.7","2.3",".",".",".",".",".",".",".","0.5","."
"299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"306
The Real Estate Process","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Farming Systems Management","001","","27","3.407","37.0","25.9","22.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"322
Commodity Markets","001","","53","2.510","11.3","3.8","37.7","1.9","30.2","9.4","3.8",".",".",".",".",".","1.9",".",".","."
"336
Agric & Natrl Resources Law","001","","35","3.043","17.1","28.6","17.1","25.7","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"344
Environment&Global Economy","001","","35","2.838","17.1","17.1","17.1","14.3","28.6","2.9",".",".",".",".",".",".",".",".","2.9","."
"350
World Hunger & Malnutrition","001","","32","3.750","68.8","15.6","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","7","3.467","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"421
Econ Analysis-Agric Markets","001","","20","2.611","15.0","25.0","10.0","15.0","5.0","10.0","10.0",".",".",".",".",".","10.0",".",".","."
"462
Latin Amer Economc Develpmt","001","","9","3.167","22.2",".","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"474
Econ Probs-Developing Areas","001","","11","3.278","36.4","9.1","18.2",".","18.2",".",".","18.2",".",".",".",".",".",".",".","."
"500
Senior Capstone Experience","001","","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"636
Applied Econometric Anal","001","","12","3.389","16.7","33.3","16.7","8.3",".",".",".","8.3",".",".",".",".","8.3",".","8.3","."
"671
Energy Economics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","7","2.571","14.3","28.6","28.6",".",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","2.588","27.3","18.2","18.2",".","9.1","9.1","18.2",".",".",".",".",".",".",".",".","."
"705
Applied Microeconomics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"707
Institutional Economics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"732
Microeconomics-Ag Develpmt","001","","9","3.063","11.1","33.3","33.3",".",".","11.1",".",".",".",".",".",".","11.1",".",".","."
"743
App Consumption Analysis","001","","8","3.417","25.0","12.5","37.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"761
Valuation of Envir Resources","001","","11","3.600","45.5","18.2","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"799","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
