"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"Topics: Ital Culture,Film,Lang","Course Total","","16","3.900","81.3","6.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"632
Lineamenti Di Lett Italiana","001","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"952
Smr-Studies in Italian Lit","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"ITALIAN
508","Dept. Total","","701","3.368","42.9","20.8","20.5","5.3","3.0","1.7","2.1","2.7",".",".",".",".","0.1","0.7",".","."
