"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4651","3.027","31.0","16.2","17.7","12.3","14.7","4.0","1.4","2.3","",".",".","",".","0.0","0.2","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","706","2.537","11.0","14.6","15.4","20.7","25.1","9.5","3.5",".","",".",".","",".",".",".","0.1",".","."
"Sophomore","","1246","2.917","20.6","18.5","21.0","15.1","19.3","4.2","1.0","0.2","",".",".","",".",".",".",".","0.1","."
"Junior","","1068","3.046","30.3","17.0","21.5","12.1","13.7","3.3","1.6","0.4","",".",".","",".",".",".","0.1",".","."
"Senior","","1260","3.296","44.4","16.2","16.7","8.1","8.8","2.5","0.7","1.9","",".",".","",".","0.2","0.2","0.3",".","."
"Undergraduates","","4280","2.996","28.5","16.8","18.9","13.2","15.8","4.3","1.5","0.7","",".",".","",".","0.0","0.1","0.1","0.0","."
"Special","","45","3.193","46.7","13.3","6.7","4.4","17.8","4.4",".","2.2","",".",".","",".",".","2.2",".","2.2","."
"Graduate","","323","3.830","62.8","8.7","2.5","0.9","0.3",".",".","22.9","",".",".","",".",".","1.9",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","2","2.750",".",".","50.0","50.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","3","3.167","33.3",".","33.3","33.3",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","4651","3.027","31.0","16.2","17.7","12.3","14.7","4.0","1.4","2.3","",".",".","",".","0.0","0.2","0.1","0.0","."
