"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212
001","24","2.938","16.7","20.8","25.0","25.0","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"Physician in Hist (Honors)","284
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Modern Biology","333
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science in America","394
001","21","3.389","28.6","19.0","28.6","9.5",".",".",".",".",".",".",".",".","14.3",".",".","."
"Childbirth in the US","431
001","15","3.571","46.7","20.0","20.0","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Women & Health-Amer History","531
001","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"History of the (American) Body","532
001","17","3.441","29.4","41.2","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","29","3.370","31.0","20.7","31.0","6.9","3.4",".",".","6.9",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565
001","9","3.500","55.6","22.2",".",".",".","11.1",".","11.1",".",".",".",".",".",".",".","."
"Hist Perspectives-Medicine","720
001","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"Grad Studies in Med Ethics","734
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","154","3.403","34.4","22.7","20.1","8.4","1.9","0.6","0.6","8.4",".",".",".",".","2.6",".",".","."
