"HEBREW (HEBREW AND SEMITI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","11","3.545","81.8",".",".",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","102","002","","20","3.725","65.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102","003","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hebrew","","Course Total","","53","3.755","75.5","11.3","9.4",".","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-Second Sem","104","001","","10","3.600","50.0","40.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Hebrew","202","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-Second Sem","304","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","324","001","","9","3.500","11.1","44.4","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","10","3.350","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371","002","","12","3.625","66.7",".","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","","Course Total","","20","3.675","65.0","10.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","377","001","","17","3.471","17.6","58.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","402","001","","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","514","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Aramaic II","602","001","","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Ezekiel","642","001","","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","3.676","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Poetry","958","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
