"","999
055","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
058","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
060","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
085","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","46","3.933","78.3","8.7","2.2",".",".",".",".","4.3",".",".","",".",".","4.3",".","2.2","."
"HISTORY
448","Dept. Total","3720","3.341","29.8","27.3","23.6","7.0","3.7","0.8","0.9","5.5","0.1",".","",".","0.4","0.2","0.1","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","243","3.031","10.7","27.6","36.2","13.6","8.6","2.5","0.8",".",".",".","",".",".",".",".",".","."
"Sophomore","","680","3.287","24.0","31.0","31.5","7.5","4.1","0.9","0.6","0.3",".",".","",".",".",".","0.1",".","."
"Junior","","949","3.332","30.7","28.7","27.4","6.1","3.7","0.9","1.3","0.8",".",".","",".",".","0.2","0.1","0.1","."
"Senior","","1452","3.373","33.0","29.1","21.5","8.0","3.7","0.3","1.0","3.0","0.2",".","",".",".","0.1","0.1","0.1","."
"Undergraduates","","3324","3.316","28.9","29.2","26.3","7.8","4.1","0.8","1.0","1.6","0.1",".","",".",".","0.1","0.1","0.1","."
"Special","","80","3.468","16.3","7.5",".","2.5",".","2.5",".","60.0",".",".","",".",".","1.3","1.3","8.8","."
"Graduate","","314","3.862","43.6","12.1","1.3","0.3",".",".",".","32.8","0.6",".","",".","4.8","1.3",".","3.2","."
"Prof Yr 2","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3720","3.341","29.8","27.3","23.6","7.0","3.7","0.8","0.9","5.5","0.1",".","",".","0.4","0.2","0.1","0.5","."
