"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Amer Indians in Higher Educ","150
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indians in Film","325
001","12","3.818","66.7","16.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Indians-Western Great Lakes","353
001","28","2.963","14.3","21.4","21.4","21.4","17.9",".",".","3.6",".",".",".",".",".",".",".","."
"Fourth Semester Ojibwe","402
001","6","3.400","66.7",".",".",".",".","16.7",".","16.7",".",".",".",".",".",".",".","."
"American Indian Folklore","431
001","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","13","3.909","76.9",".","7.7",".",".",".",".","7.7",".",".",".",".",".","7.7",".","."
"","450
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
003","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
004","13","3.727","46.2","30.8","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","450
006","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","40","3.829","72.5","15.0","5.0","2.5",".",".",".","5.0",".",".",".",".",".",".",".","."
"Writing Tribal Histories","546
001","9","3.167","55.6","11.1","11.1",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Modernity in Native Amer Lit","649
001","13","3.462","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","13","3.443","53.8","23.1","7.7",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"Amer Ind Lands & Sovereignties","676
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"AMER IND
140","Dept. Total","156","3.520","52.6","17.9","12.8","5.8","3.8","0.6","1.3","4.5",".",".",".",".",".","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","2.933","11.1","33.3","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","26","3.604","65.4","19.2","3.8","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"Junior","","39","3.445","56.4","15.4","10.3","2.6","5.1",".","5.1","5.1",".",".",".",".",".",".",".","."
"Senior","","74","3.545","51.4","17.6","16.2","6.8","4.1",".",".","4.1",".",".",".",".",".",".",".","."
"Undergraduates","","148","3.506","52.7","18.2","13.5","6.1","4.1","0.7","1.4","3.4",".",".",".",".",".",".",".","."
"Special","","3","",".",".",".",".",".",".",".","66.7",".",".",".",".",".","33.3",".","."
"Graduate","","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","156","3.520","52.6","17.9","12.8","5.8","3.8","0.6","1.3","4.5",".",".",".",".",".","0.6",".","."
