"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","184","3.203","24.5","23.9","29.9","12.0","7.6","0.5","0.5","1.1",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","47","3.234","25.5","21.3","34.0","12.8","6.4",".",".",".",".",".",".",".",".",".",".","."
"","365
001","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","365
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","410
001","18","3.056","16.7","33.3","33.3",".","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","410
002","43","3.407","34.9","23.3","30.2","11.6",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","61","3.303","29.5","26.2","31.1","8.2","3.3",".","1.6",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","50","3.565","28.0","52.0","8.0","4.0",".",".",".","8.0",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","31","3.435","38.7","25.8","22.6","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","70","3.643","47.1","38.6","11.4","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631
001","21","4.000","90.5",".",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"International Real Estate","730
001","11","3.545","36.4","54.5",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","15","3.308","13.3","33.3","33.3","6.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Real Est Finance Theory","870
001","19","3.533","36.8","10.5","31.6",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
116","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","4","***","","","","","","","","","","","","","","","",""
"Readng&Rsch-Real Estate PhD","999
151","2","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","560","3.422","37.0","26.1","21.6","7.1","3.9","0.2","0.4","3.8",".",".",".",".",".",".",".","."
