"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"803","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","31","3.919","87.1",".","3.2",".","3.2",".",".","6.5",".",".",".",".",".",".",".","."
"890","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"890","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","29","",".",".",".",".",".",".",".","65.5","3.4",".",".","31.0",".",".",".","."
"900
Seminar","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
