"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1127","3.430","49.9","20.8","14.7","5.5","4.8","1.2","1.1","1.8","",".",".","",".","0.1","0.1",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","153","2.868","22.9","18.3","20.3","14.4","14.4","3.9","5.2",".","",".",".","",".",".",".",".",".","0.7"
"Sophomore","","196","3.255","33.7","24.0","23.0","7.7","8.7","1.5","1.5",".","",".",".","",".",".",".",".",".","."
"Junior","","170","3.441","38.2","29.4","22.9","4.1","4.7","0.6",".",".","",".",".","",".",".",".",".",".","."
"Senior","","204","3.386","38.2","28.4","19.1","8.3","1.5","2.0","0.5","2.0","",".",".","",".",".",".",".",".","."
"Undergraduates","","723","3.254","33.7","25.3","21.3","8.4","6.9","1.9","1.7","0.6","",".",".","",".",".",".",".",".","0.1"
"Special","","23","3.618","39.1","21.7","8.7",".","4.3",".",".","26.1","",".",".","",".",".",".",".",".","."
"Graduate","","243","3.878","80.2","11.9","2.1","0.4","0.8",".",".","3.7","",".",".","",".","0.4","0.4",".",".","."
"Prof Yr 1","","65","3.814","81.5","7.7","7.7",".","1.5",".",".","1.5","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","36","3.930","86.1","13.9",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","25","3.865","72.0","28.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","138","3.880","82.6","12.3","3.6",".","0.7",".",".","0.7","",".",".","",".",".",".",".",".","."
"","Dept. Total","1127","3.430","49.9","20.8","14.7","5.5","4.8","1.2","1.1","1.8","",".",".","",".","0.1","0.1",".",".","0.1"
