"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"100
The Microbial World","001","","44","3.091","36.4","22.7","6.8","9.1","20.5",".","4.5",".",".",".",".",".",".",".",".","."
"101
General Microbiology","001","","205","2.915","12.7","23.4","27.3","14.1","19.5","2.4","0.5",".",".",".",".",".",".",".",".","."
"102","001","","31","3.548","41.9","32.3","22.6",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"102","002","","31","3.387","29.0","35.5","22.6","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"102","003","","32","3.500","21.9","62.5","9.4","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","","94","3.479","30.9","43.6","18.1","5.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"289
Honors Independent Study","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Procaryotic Microbiology","001","","304","2.903","21.4","14.8","25.7","11.2","22.4","3.3","1.3",".",".",".",".",".",".",".",".","."
"304","001","","35","3.300","28.6","17.1","45.7","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"304","002","","36","3.139","22.2","5.6","55.6","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"304","003","","34","3.118","17.6","23.5","35.3","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","","105","3.186","22.9","15.2","45.7","8.6","7.6",".",".",".",".",".",".",".",".",".",".","."
"370
Bacterial Genetics","001","","65","3.102","35.4",".","35.4","7.7","18.5","1.5",".","1.5",".",".",".",".",".",".",".","."
"375
Special Topics","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"425
Environmental Microbiology","001","","13","2.364",".","15.4","15.4",".","46.2","7.7",".","15.4",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"531
Undergraduate Seminar","001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Topics in Biotechnology","001","","40","3.663","72.5","15.0","5.0","2.5",".","2.5","2.5",".",".",".",".",".",".",".",".","."
"550
Physiol Divrsty-Procaryotes","001","","48","3.115","27.1","14.6","27.1","16.7","14.6",".",".",".",".",".",".",".",".",".",".","."
"551","001","","18","3.389","38.9","33.3","16.7",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"551","002","","8","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"551","003","","18","3.194","38.9","11.1","27.8","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","","44","3.284","34.1","22.7","29.5","2.3","6.8","4.5",".",".",".",".",".",".",".",".",".","."
"632
Indus Microbiol/Biotechnlgy","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
