"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","86","3.134","30.2","19.8","19.8","16.3","10.5","2.3","1.2",".",".",".",".",".",".",".",".","."
"","154","001","","10","3.250","30.0","30.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","154","002","","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","","Course Total","","24","3.396","33.3","33.3","25.0","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","14","3.429","28.6","42.9","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","17","3.294","11.8","47.1","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","68","2.919","20.6","16.2","30.9","14.7","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"Interior Design I","222","001","","32","3.500","25.0","53.1","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","14","3.464","14.3","64.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","13","3.500","61.5","7.7","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","15","3.533","20.0","66.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","89","2.820","6.7","18.0","37.1","20.2","12.4","5.6",".",".",".",".",".",".",".",".",".","."
"","299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","40","3.171","30.0","7.5","35.0","2.5","7.5","5.0",".","12.5",".",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Twentieth Century Design","420","001","","18","3.735","55.6","27.8","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","","45","3.411","35.6","40.0","13.3","2.2","6.7",".","2.2",".",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Structural II","428","001","","12","3.083",".","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","18","3.472","22.2","61.1","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","15","3.798","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","17","3.813","70.6","11.8","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","32","3.806","65.6","25.0","6.3",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Color Theory: Environ Context","520","001","","25","3.560","40.0","32.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","015","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","30","3.033","20.0","16.7","36.7","16.7","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","699","000G","","6","3.950","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000F","","10","3.813","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 146 of 401",""
