"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"412","001","","38","3.013","34.2","23.7","13.2","5.3","7.9","13.2","2.6",".",".",".",".",".",".",".",".","."
"412","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","","39","3.013","33.3","23.1","12.8","5.1","7.7","12.8","2.6",".",".",".",".",".",".",".","2.6","."
"420
Electromag Wave Transmissn","001","","25","3.100","20.0","16.0","44.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"434
Photonics","001","","20","3.237","20.0","30.0","30.0","5.0","10.0",".",".",".",".",".",".",".",".",".","5.0","."
"437
Communication Systems II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"444
Microwave-Devices&Applicatn","001","","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"453
Embedded Microproc System Dsgn","001","","22","3.341","36.4","22.7","27.3",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"466
Electronics of Solids","001","","18","2.889","22.2","5.6","33.3","5.6","33.3",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491
Senior Design Project","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"511","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"511","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","Course Total","","6","3.500","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".","33.3",".",".","."
"520
Foundatns-Dynamic Phys Sys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"531
Speech Signal Processing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"537
Communication Networks","001","","25","3.667","60.0","20.0","8.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"544
Processing-Electronic Matls","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"545
Adv Microwave Measurmnt-","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Commun","","","","","","","","","","","","","","","","","","","",""
"549
IC Fabrication Lab","001","","9","3.750","44.4","11.1","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"551
Digital Sys Design & Synthesis","001","","42","3.244","31.0","26.2","19.0","11.9","4.8","4.8",".","2.4",".",".",".",".",".",".",".","."
"552
Intro-Computer Architecture","001","","31","3.250","22.6","29.0","25.8","12.9","6.5",".",".",".",".",".",".",".",".","3.2",".","."
"554
Digital Engineering Lab","001","","27","3.648","63.0","11.1","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"555
Digital Circuits&Components","001","","50","2.550","14.0","14.0","24.0","20.0","10.0","8.0","10.0",".",".",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"602
Spec Topics-Elec&Comptr Eng","001","","27","3.407","29.6","44.4","7.4","14.8","3.7",".",".",".",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","24","3.789","87.5",".","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
