"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"812","061","","18","3.529","16.7","66.7","11.1",".",".",".",".",".","5.6",".",".",".",".",".",".","."
"812","062","","21","3.571","23.8","71.4",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","17","3.500","29.4","52.9","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"812","064","","18","3.583","22.2","72.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","74","3.548","23.0","66.2","6.8","1.4","1.4",".",".",".","1.4",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921
Gynecol Oncology Clerk-CSC","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925
High Risk Obst Clrk-Meriter","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Reproductive Health","Course Total","","5","***","","","","","","","","","","","","","","","",""
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
