"MILITARY SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"","102
001","21","3.762","85.7","9.5",".",".",".",".","","4.8",".","",".","",".",".","",".","",".","",".",".","."
"","002
102","19","3.737","52.6","42.1","5.3",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","102
003","23","3.826","78.3","8.7","13.0",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","102
004","7","3.714","71.4",".","28.6",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Basic Leadership","Course Total","70","3.771","72.9","17.1","8.6",".",".","",".","1.4","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 1B","111
111","14","4.000","100.0",".",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Orienteering","194
001","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","202
001","16","3.625","68.8","25.0",".",".",".",".","","6.3",".","",".","",".",".","",".","",".","",".",".","."
"","202
002","14","3.714","71.4","7.1","14.3","7.1",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Leadership and Teamwork","Course Total","30","3.667","70.0","16.7","6.7","3.3",".","",".","3.3","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 2B","211
211","7","3.714","85.7",".",".",".","14.3",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Leadership and Ethics","302
001","17","3.941","88.2","11.8",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Lab 3B","311
001","15","4.000","100.0",".",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Officership","402
001","15","3.967","93.3","6.7",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Lab 4B","411
001","10","4.000","100.0",".",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"American Military History","491
001","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MIL SCI
644","Dept. Total","187","3.840","82.9","10.7","4.3","0.5","0.5","",".","1.1","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","57","3.667","66.7","19.3","12.3",".",".","",".","1.8","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","52","3.797","84.6","7.7","1.9","1.9","1.9","",".","1.9","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","30","3.953","90.0","10.0",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","42","3.985","97.6","2.4",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","181","3.837","82.9","10.5","4.4","0.6","0.6","",".","1.1","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","3","3.800","66.7","33.3",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","187","3.840","82.9","10.7","4.3","0.5","0.5","",".","1.1","",".","",".",".","",".","",".","",".",".",".","."
