"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","169","3.536","49.7","23.7","16.0","7.7","1.8","1.2",".",".",".",".",".",".",".",".",".","."
"","301
002","95","3.200","16.8","36.8","24.2","13.7","8.4",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","264","3.415","37.9","28.4","18.9","9.8","4.2","0.8",".",".",".",".",".",".",".",".",".","."
"","320
001","171","3.240","24.0","37.4","19.3","12.9","3.5",".","2.9",".",".",".",".",".",".",".",".","."
"","320
002","170","3.568","35.9","47.6","9.4","4.7","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","341","3.403","29.9","42.5","14.4","8.8","2.3",".","1.5","0.6",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
002","159","3.373","44.7","17.0","22.0","4.4","8.8","2.5",".",".",".",".",".",".",".","0.6",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","10","3.870","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Study of Teaching","708
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Development and Aging","722
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Tech-Schools II","741
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","45","3.826","64.4","28.9","2.2",".",".",".",".","4.4",".",".",".",".",".",".",".","."
"","761
002","28","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","73","3.877","72.6","20.5","1.4",".",".",".",".","5.5",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","33","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Child Development","920
001","12","3.887","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Statistics & Rsch Dsgn","961
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Smr-Educ Measuremnt&Stats","971
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 92 of 401"
