"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","304
001","31","3.286","35.5","25.8","9.7","6.5","6.5","6.5",".","9.7",".","",".",".","",".","",".","",".",".","."
"Classical Mythology","370
001","414","3.166","22.2","29.2","26.6","9.9","5.1","3.1","1.4","1.9",".","",".",".","",".","",".","","0.2","0.2","."
"Classcl Backgrd-English Lit","554
001","19","3.556","36.8","31.6","26.3",".",".",".",".","5.3",".","",".",".","",".","",".","",".",".","."
"Lit of Ancient Greece","555
001","65","3.563","43.1","40.0","6.2","4.6","1.5",".","1.5",".",".","",".",".","",".","",".","","3.1",".","."
"Undergrad Smr:Classicl Wrld","591
001","16","3.406","43.8","18.8","31.3",".",".","6.3",".",".",".","",".",".","",".","",".","",".",".","."
"Senior Thesis","692
002","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
002","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
003","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
014","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
021","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
022","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Reading","Course Total","6","3.467","50.0","16.7","16.7","16.7",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Art & Archaeology-Ancient Rome","704
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLASSICS
244","Dept. Total","554","3.246","27.3","29.8","23.1","8.5","4.3","2.9","1.3","2.2","",".",".","",".","",".","",".","0.5","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","57","2.902","8.8","26.3","28.1","21.1","8.8","3.5","1.8",".","",".",".","",".","",".","",".","1.8",".","."
"Sophomore","","176","3.250","27.3","29.5","25.0","10.8","2.3","2.3","1.7","0.6","",".",".","",".","",".","",".","0.6",".","."
"Junior","","160","3.292","28.8","33.8","20.6","6.9","6.9","1.3","1.3","0.6","",".",".","",".","",".","",".",".",".","."
"Senior","","154","3.309","31.2","28.6","21.4","3.2","2.6","5.2","0.6","6.5","",".",".","",".","",".","",".","0.6",".","."
"Undergraduates","","547","3.242","26.9","30.2","23.0","8.6","4.4","2.9","1.3","2.2","",".",".","",".","",".","",".","0.5",".","."
"Special","","3","3.000",".",".","66.7",".",".",".",".",".","",".",".","",".","",".","",".",".","33.3","."
"Graduate","","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","554","3.246","27.3","29.8","23.1","8.5","4.3","2.9","1.3","2.2","",".",".","",".","",".","",".","0.5","0.2","."
