"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"300
Cropping Systems","001","","15","3.100","13.3","20.0","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"334
Nutrnt Mgmt:Agronomic Crops","001","","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","11","3.182","27.3","27.3","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","8","3.667","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.607","44.4","38.9","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"377
Cropping Systems-Tropics","001","","17","3.412","23.5","47.1","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Special Problems","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Select Thry-Quant Traits","001","","10","3.778","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"875
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Seminar","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","20","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
