"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"100","001","","20","3.350","40.0","20.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"100","002","","19","3.684","63.2","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"100","003","","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","004","","19","3.263","15.8","31.6","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"100","005","","19","3.342","31.6","31.6","10.5","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","006","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","007","","18","3.500","50.0","33.3","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"100","008","","19","3.474","26.3","47.4","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","009","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","010","","19","3.658","63.2","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","011","","19","3.132","15.8","31.6","42.1","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"100","012","","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","013","","18","3.583","44.4","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","014","","19","3.658","52.6","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","015","","18","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","016","","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","017","","19","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","018","","19","3.289","21.1","47.4","26.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"100","019","","17","3.500","47.1","17.6","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"100","020","","19","3.421","21.1","52.6","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"100","021","","19","3.474","26.3","47.4","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","022","","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","023","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","024","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","025","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","026","","19","3.289","5.3","47.4","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","027","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","028","","18","3.611","50.0","22.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","029","","19","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","030","","19","3.526","63.2","15.8","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"100","031","","17","3.375","17.6","41.2","29.4","5.9",".",".",".",".",".",".",".",".",".","5.9",".","."
"100","032","","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","033","","19","3.421","42.1","42.1","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"100","034","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","035","","19","3.632","57.9","21.1","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","036","","19","3.658","31.6","68.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","037","","19","3.605","68.4","15.8","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"100","039","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","040","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","041","","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","042","","19","3.474","21.1","63.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","043","","19","3.553","15.8","78.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","044","","17","3.471","41.2","23.5","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"100","045","","19","3.500","47.4","21.1","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"100","046","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","047","","18","3.472","38.9","22.2","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","","","","","","","","","","","","","","","","","","","Page 201 of 401",""
