"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","46","3.709","47.8","37.0","8.7",".",".",".",".","4.3",".",".",".",".","2.2",".",".","."
"19&20 C Russian Lit Tran II","204
001","81","3.586","58.0","24.7","11.1","1.2","1.2","1.2","2.5",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209
001","31","3.317","19.4","45.2","25.8","3.2",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"Gogol in Translation","221
001","11","3.471","36.4","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223
001","19","3.500","42.1","21.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224
001","18","3.893","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234
001","28","3.536","46.4","21.4","21.4","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","8","2.438",".","25.0","37.5","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240
001","23","3.743","82.6","8.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","241
001","15","3.467","53.3","26.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Vampire in Literature and Film","248
001","29","3.483","65.5","13.8","6.9","6.9",".",".","6.9",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","29","3.121","27.6","13.8","37.9","10.3","3.4","6.9",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264
001","33","2.924","15.2","15.2","33.3","18.2","15.2","3.0",".",".",".",".",".",".",".",".",".","."
"Urdu Prose Fic-Ind&Pak/Tran","273
001","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","185","3.189","10.8","38.4","34.1","10.8","5.4",".","0.5",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275
001","220","3.377","19.5","48.2","22.3","6.4","2.7",".","0.5","0.5",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","301
001","6","2.667",".","50.0","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","13","3.500","30.8","38.5","15.4","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337
001","36","3.442","30.6","38.9","19.4","5.6","2.8",".",".","2.8",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345
001","10","3.464","10.0","60.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346
001","6","3.450","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Class Japanese Prose-Transl","372
001","8","3.000","37.5","12.5","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373
001","25","2.900","8.0","32.0","32.0","12.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Pol Lit(Tran) Mid Ages-1863","471
001","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","911","3.369","30.1","34.6","22.5","6.8","3.1","0.7","1.4","0.8",".",".",".",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","123","3.094","11.4","33.3","34.1","13.0","4.9","0.8","2.4",".",".",".",".",".",".",".",".","."
"Sophomore","","262","3.437","31.7","38.9","18.7","6.1","3.4","0.8","0.4",".",".",".",".",".",".",".",".","."
"Junior","","243","3.380","34.2","33.3","20.2","6.2","2.9","0.4","2.5","0.4",".",".",".",".",".",".",".","."
"Senior","","275","3.411","33.1","32.4","23.6","5.5","2.2","0.7","1.1","1.1",".",".",".",".","0.4",".",".","."
"Undergraduates","","903","3.367","30.0","34.7","22.7","6.9","3.1","0.7","1.4","0.4",".",".",".",".","0.1",".",".","."
"Special","","7","3.731","28.6","28.6",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","911","3.369","30.1","34.6","22.5","6.8","3.1","0.7","1.4","0.8",".",".",".",".","0.1",".",".","."
