"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.861","65.0","25.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","101
002","17","3.735","70.6","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
004","23","3.630","60.9","17.4","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.429","38.1","28.6","28.6",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","101
008","22","3.500","50.0","27.3","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","101
010","23","3.109","39.1","26.1","17.4","4.3",".",".","13.0",".",".",".",".",".",".",".",".","."
"","101
011","15","2.808","6.7","20.0","20.0","26.7","6.7","6.7",".","13.3",".",".",".",".",".",".",".","."
"","101
012","17","3.265","41.2","11.8","23.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","101
013","15","3.286","40.0","20.0","20.0","6.7",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","173","3.423","46.8","22.0","16.2","4.6","3.5","1.2","2.9","2.9",".",".",".",".",".",".",".","."
"","102
001","19","3.000","42.1","10.5","21.1",".","5.3","5.3","10.5","5.3",".",".",".",".",".",".",".","."
"","102
002","21","3.405","38.1","23.8","33.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","102
004","24","3.104","16.7","25.0","33.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
006","21","3.238","23.8","23.8","38.1","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
008","21","3.500","47.6","28.6","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","102
009","25","2.840","12.0","28.0","36.0","12.0",".",".","12.0",".",".",".",".",".",".",".",".","."
"","102
011","21","3.381","23.8","33.3","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","23","3.455","21.7","43.5","30.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","102
014","17","3.156","23.5","17.6","29.4","11.8","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","192","3.228","27.1","26.6","30.7","5.7","4.2","1.6","2.6","1.6",".",".",".",".",".",".",".","."
"","201
001","18","3.588","50.0","11.1","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","201
002","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","49","3.688","57.1","20.4","20.4",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"","203
001","18","3.028","27.8","11.1","33.3","16.7",".","11.1",".",".",".",".",".",".",".",".",".","."
"","203
002","14","2.321","28.6",".","14.3","21.4","7.1","7.1","21.4",".",".",".",".",".",".",".",".","."
"","203
003","19","2.763","5.3","15.8","42.1","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"","203
006","19","2.882","10.5","10.5","42.1","10.5","10.5","5.3",".","10.5",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","70","2.772","17.1","10.0","34.3","17.1","5.7","8.6","4.3","2.9",".",".",".",".",".",".",".","."
"","204
001","23","3.476","26.1","39.1","21.7","4.3",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"","204
002","18","3.139","22.2","22.2","38.9","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","41","3.321","24.4","31.7","29.3","4.9","2.4","2.4",".","2.4",".",".",".",".","2.4",".",".","."
"Modern Italian Culture","230
001","16","2.833","18.8","25.0","18.8","18.8",".",".","12.5",".",".",".",".",".",".","6.3",".","."
"Directed Study","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","15","3.536","40.0","33.3","13.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Italian for Business","313
001","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","24","3.872","75.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Intro to Romance Languages","429
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
001","17","3.859","64.7","23.5",".",".",".",".",".","5.9",".",".",".",".",".","5.9",".","."
"","450
002","12","3.923","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Special Topics-Italian Lit","Course Total","29","3.888","69.0","20.7",".",".",".",".",".","3.4",".",".",".",".",".","6.9",".","."
"","453
001","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","453
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 236 of 401",""
