"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","130","3.315","41.5","16.2","20.0","8.5","8.5","3.1",".","0.8",".",".",".",".",".","1.5",".","."
"Renaissance to Modern Art","202","001","228","3.559","46.1","23.2","15.8","6.1","1.3",".","0.4","5.7",".",".",".",".","0.4","0.9",".","."
"","203","001","41","3.150","22.0","12.2","39.0","22.0","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","203","002","25","3.346","32.0","20.0","40.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Art","","Course Total","66","3.226","25.8","15.2","39.4","13.6","4.5",".",".","1.5",".",".",".",".",".",".",".","."
"Survey-Photogrphy:1839-1989","206","001","97","3.119","33.0","21.6","19.6","7.2","2.1","7.2","4.1","5.2",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","52","3.667","51.9","32.7","9.6","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","39","3.512","46.2","17.9","25.6","5.1","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Early Christian & Byzantine","310","001","47","2.900","8.5","21.3","40.4","14.9","4.3","2.1","4.3","4.3",".",".",".",".",".",".",".","."
"Netherlandish Painting-17c","333","001","42","3.371","38.1","4.8","26.2","9.5","4.8",".",".","16.7",".",".",".",".",".",".",".","."
"Study Abroad-Ren/Baroq Art","336","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cross-Cult Arts-Atlantc Rim","354","001","57","3.411","35.1","31.6","14.0","1.8","7.0",".","1.8","7.0",".",".",".",".","1.8",".",".","."
"Survey of Amer Art Since 1945","365","001","79","3.466","26.6","27.8","7.6","10.1","1.3",".",".","26.6",".",".",".",".",".",".",".","."
"Amer Architecture: 19th C","368","001","76","3.304","36.8","22.4","23.7","5.3","5.3","1.3","2.6","2.6",".",".",".",".",".",".",".","."
"Topics in 19th Century Art","407","001","30","3.638","40.0","46.7","6.7","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","48","3.125","16.7","22.9","33.3","12.5","4.2",".","2.1","4.2",".",".",".",".","2.1","2.1",".","."
"Topics in Medieval Art","415","001","23","3.211","17.4","26.1","17.4","17.4","4.3",".",".","17.4",".",".",".",".",".",".",".","."
"Race&Gender-Ital Early Mod Art","425","001","19","3.194","21.1","26.3","31.6","10.5",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","14","3.357","42.9","28.6","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Proseminar in Chinese Art","576","001","9","3.000","11.1","11.1","44.4","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"Special Topics-Art History","600","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Map & Represent Colonial Space","621","001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","704","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","9","3.700","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".","."
