"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","61","",".",".",".",".",".",".",".","80.3",".",".",".","19.7",".",".",".","."
"993
Smr:Rsrch Mthds-Land Rsrces","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"ENVIR ST
360","Dept. Total","1169","3.389","50.1","13.3","12.7","7.3","5.5","1.3","1.2","5.2",".","1.6",".","1.0","0.3",".","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","101","3.192","49.5","11.9","12.9","12.9","7.9","2.0","2.0",".",".",".",".",".",".",".",".","1.0"
"Sophomore","","210","3.372","54.8","14.8","10.5","11.0","6.7","1.4","0.5","0.5",".",".",".",".",".",".",".","."
"Junior","","230","3.309","48.3","15.7","13.5","10.9","9.1","0.4","1.3","0.9",".",".",".",".",".",".",".","."
"Senior","","374","3.361","49.5","14.7","18.4","5.3","5.3","2.4","1.9","1.3",".",".",".",".","0.8",".","0.3","."
"Undergraduates","","915","3.332","50.4","14.6","14.8","8.9","6.9","1.6","1.4","0.9",".",".",".",".","0.3",".","0.1","0.1"
"Special","","28","3.510","25.0","25.0","21.4","3.6",".",".",".","14.3",".",".",".",".",".",".","10.7","."
"Graduate","","225","3.806","52.4","6.2","3.6","1.3","0.4",".","0.4","21.8",".","8.4",".","5.3",".",".",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1169","3.389","50.1","13.3","12.7","7.3","5.5","1.3","1.2","5.2",".","1.6",".","1.0","0.3",".","0.3","0.1"
