"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"212
Intro-Scientific Communication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Family & Consumer Features","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"360","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Radio","Course Total","","5","***","","","","","","","","","","","","","","","",""
"435
Integrated Marktng Communicatn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"515","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","3","***","","","","","","","","","","","","","","","",""
"530","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"530","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","","4","***","","","","","","","","","","","","","","","",""
"532
Web Design for the Sciences","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"FAM COM
464","Dept. Total","","31","3.759","64.5","12.9","16.1",".",".",".",".",".",".","6.5",".",".",".",".",".","."
