"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"425
002","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Concrn&Constrnt-Tch Yng Chl","","49","3.867","79.6","14.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
001
Young Adult Lit for Schools","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"440
002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"440
003","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"440
004","","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"Course Total
Elem Teaching Practicum IV","","66","",".",".",".",".",".",".",".",".",".","98.5","1.5",".",".",".",".","."
"442
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"442
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"442
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching World Lang (K-8)","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"443
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"443
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"443
003","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching World Lang(6-12)","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"445
001
Stdt Teaching in Agri-sci Educ","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"457
001
Stdt Tchg-Health Education","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"458
001
Stdt Tch-His&Soc St Mid Sch","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"459
001
Stdt Tchg Hist&Soc St in HS","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"463
001
Seminar:K-Mid Schl Teaching","","72","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
001
Stdt Tchg in Elem School","","57","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
001
Stdt Tchg-Kindergarten","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Elem","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"467
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"467
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Secndry","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"472
001
Stdt Teaching Engl-Mid Schl","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"490
001
Stdt Teach-Science in H.S.","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"494
001
Student Teaching in HS Math","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495
001
Stdt Teach Sci-MiddleSchl","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"496
001
Stdt Teaching-English in HS","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"497
001
Stdt Teach-Middle Schl Math","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498
001
Stdt Teaching-Middle School","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"501
001
Health Info for Teachers","","71","3.704","50.7","40.8","7.0","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"503
001
Literacy Across the Curriculum","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"504
001
Literacy Assessmnt&Interventn","","18","3.833","88.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"506
001
Strategy-Inclusive Schoolng","","89","3.994","98.9","1.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"514
001
Instrctnl Computn-Schools I","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"537
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
