"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","22","3.295","27.3","31.8","22.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","12","3.125","25.0","33.3",".","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","110","3.463","38.2","25.5","29.1","4.5","0.9","0.9",".",".","0.9",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","23","3.065","17.4","17.4","39.1","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"360","001","","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"360","002","","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","13","3.231","23.1","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","20","3.225","30.0","10.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"371
Mat Sci&Engr Prob Solvng II","001","","14","3.536","50.0","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","45","3.760","57.8","37.8","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","002","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","60","3.727","55.0","36.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"433
Principles of Corrosion","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","19","3.342","31.6","26.3","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","10","3.500","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"544
Processing-Electronic Matls","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","26","3.635","57.7","11.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"748
Structural Anal of Matrial","001","","17","3.531","41.2","23.5","23.5","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","11","",".",".",".",".",".",".",".","90.9",".",".",".",".","9.1",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","12","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"803","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 136 of 401",""
