"","E ASIAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","73","3.471","46.6","23.3","12.3","4.1","8.2","1.4",".","2.7",".",".",".",".",".",".","1.4","."
"Second Semester Japanese","104","001","110","3.051","18.2","29.1","23.6","13.6","7.3","2.7","2.7",".",".",".",".",".",".",".","2.7","."
"Elementary Korean","106","001","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","121","001","22","3.619","63.6","13.6","4.5","4.5","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"","121","002","24","3.870","75.0","16.7","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","46","3.750","69.6","15.2","4.3","2.2","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","123","001","23","3.696","65.2","17.4","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","123","002","21","3.525","66.7","4.8",".","9.5","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","44","3.616","65.9","11.4","6.8","4.5","9.1",".",".","2.3",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","21","3.763","57.1","23.8","9.5",".",".",".",".","4.8",".",".",".",".",".",".","4.8","."
"Fourth Semester Japanese","204","001","34","3.125","20.6","23.5","29.4","11.8","5.9",".","2.9","5.9",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","27","3.241","33.3","29.6","14.8","11.1","7.4",".","3.7",".",".",".",".",".",".",".",".","."
"Intro-Japanese Culture&Civ","253","001","62","3.074","12.9","30.6","35.5","12.9","1.6","1.6","3.2","1.6",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.409","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","14","3.321","21.4","28.6","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","17","3.441","35.3","23.5","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","32","3.656","62.5","12.5","21.9",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","23","3.261","17.4","47.8","13.0","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","26","3.462","34.6","46.2","15.4",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","29","3.552","37.9","34.5","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","19","3.474","31.6","36.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","22","3.773","90.9",".","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","28","3.805","64.3","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Chinese Language","632","001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature","652","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 195 of 401",""
