"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"300
Principles-Risk Management","001","","200","3.030","19.5","20.0","23.5","20.0","16.5",".",".","0.5",".",".",".",".",".",".",".","."
"365
Contemporary Topics","001","","21","3.475","33.3","33.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".","4.8","."
"399
Rdg&Rsch-Risk Management","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Liability Risk Management","001","","56","3.259","26.8","21.4","35.7","8.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"620
Employee Benefits Managemnt","001","","92","3.103","22.8","13.0","50.0","3.3","6.5","2.2","2.2",".",".",".",".",".",".",".",".","."
"625
Government Insurance Progs","001","","13","3.538","46.2","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"765
Contemporary Topics","001","","11","3.750","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","224","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"875
Smr-Risk Managemnt&Insuranc","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
