"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","196","3.111","5.6","37.8","41.3","9.7","2.6",".","2.0","0.5","0.5",".",".",".",".",".",".","."
"","100","002","201","3.278","6.5","52.2","32.8","6.0","2.0",".",".","0.5",".",".",".",".",".",".",".","."
"General Geology","","Course Total","397","3.195","6.0","45.1","37.0","7.8","2.3",".","1.0","0.5","0.3",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","12","2.917","16.7","16.7","41.7",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Life of the Past","107","001","54","2.806","18.5","18.5","14.8","27.8","9.3","9.3","1.9",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","180","2.624","17.8","11.7","18.9","13.9","25.6","7.8","4.4",".",".",".",".",".",".",".",".","."
"Mountains and Moving Plates","112","001","104","2.606","11.5","7.7","31.7","11.5","22.1","6.7","3.8","1.0","1.9",".",".",".",".","1.9",".","."
"Sci Behind News-Wrld Around Us","115","001","175","2.851","18.3","14.9","26.3","12.6","18.9","4.6","1.1","1.7",".",".",".",".","0.6",".","1.1","."
"","199","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Earth Materials","203","001","26","2.769","23.1","19.2","15.4","11.5","15.4","11.5","3.8",".",".",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","28","3.060","25.0","3.6","46.4",".","10.7",".","3.6","7.1",".",".",".",".",".","3.6",".","."
"Geobiology","304","001","14","3.143","14.3","35.7","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","11","3.200","36.4","9.1","9.1","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","396","3.453","28.3","46.0","17.9","3.8","0.8","0.3","1.0","2.0",".",".",".",".",".",".",".","."
"The Age of Dinosaurs","333","001","377","2.926","7.4","16.7","44.0","12.5","9.3","1.6","1.3","6.9",".",".",".",".",".","0.3",".","."
"","376","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","376","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","376","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geology","","Course Total","22","3.817","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Stratigraphy","430","001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Geology","455","001","22","3.237","22.7","31.8","13.6","9.1","4.5","4.5",".","13.6",".",".",".",".",".",".",".","."
"Geologic Field Methods","456","001","15","3.300","26.7","40.0","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rock Mech Appl-Envr Probs","475","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Monsters & Science: A History","517","001","79","3.606","39.2","32.9","7.6",".","2.5","1.3",".","15.2",".",".",".",".",".",".","1.3","."
"Contaminant Hydrogeology","629","001","15","3.429","26.7","33.3","26.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","682","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Directed Study","698","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
