"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","148","3.385","45.3","16.9","20.9","4.1","6.1","4.1",".","2.7",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","20","3.294","30.0","25.0","20.0","5.0",".",".","5.0","15.0",".",".",".",".",".",".",".","."
"The Symphony","106
001","","69","3.432","53.6","7.2","23.2","2.9","5.8",".","2.9","4.3",".",".",".",".",".",".",".","."
"","111
001","","20","3.325","50.0","15.0","15.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","002
111","","23","3.217","30.4","47.8","4.3","4.3","4.3",".","8.7",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","43","3.267","39.5","32.6","9.3","7.0","4.7",".","7.0",".",".",".",".",".",".",".",".","."
"Music in Performance","114
001","","491","3.942","85.3","5.9","1.8","0.4",".",".",".","6.5",".",".",".",".",".",".",".","."
"","122
001","","23","2.978","13.0","13.0","52.2","17.4",".",".","4.3",".",".",".",".",".",".",".",".","."
"","122
002","","32","3.141","18.8","34.4","34.4","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","","55","3.073","16.4","25.5","41.8","10.9",".",".","5.5",".",".",".",".",".",".",".",".","."
"","151
001","","33","3.531","63.6","12.1","9.1",".","9.1",".","3.0","3.0",".",".",".",".",".",".",".","."
"","151
002","","33","3.371","48.5","12.1","9.1","15.2","6.1","3.0",".","6.1",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","","66","3.452","56.1","12.1","9.1","7.6","7.6","1.5","1.5","4.5",".",".",".",".",".",".",".","."
"","172
101","","11","3.182","9.1","36.4","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","","12","2.833","16.7","16.7","33.3","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","172
103","","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","","11","2.636","18.2","9.1","36.4","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","172
105","","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","","55","3.109","18.2","32.7","29.1","10.9","3.6","1.8","3.6",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","293","3.732","58.0","22.5","9.9","1.0","1.0",".",".","7.5",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","","35","3.300","31.4","17.1","40.0","2.9","8.6",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","222
001","","26","3.442","38.5","34.6","19.2",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","254
001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
002","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","17","3.824","82.4",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","21","4.000","90.5",".",".",".",".",".",".",".",".",".",".",".",".",".","9.5","."
"Black Music Ensemble","266
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
