"FOLKLORE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Intro-Mus Cult of the World","103","001","","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","","53","2.849","22.6","18.9","20.8","7.5","22.6","1.9","5.7",".",".",".",".",".",".",".",".","."
"Intro to American Folklore","230","001","","62","3.492","24.2","48.4","25.8",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270","001","","11","3.550","45.5","18.2","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Intro to Turkish Folk Lit","279","001","","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","","9","3.655","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346","001","","18","3.241","5.6","50.0","27.8","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"American Indian Folklore","431","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Javanese Performance Repertory","453","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Folklore","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Folklore-Festivls&Celebratn","539","001","","16","3.688","56.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Local Culture-Upper Midwest","540","001","","53","3.378","34.0","37.7","9.4","1.9","3.8","3.8","1.9","7.5",".",".",".",".",".",".",".","."
"Local Culture-Upper Midwest","541","001","","40","3.118","37.5","10.0","15.0","17.5","7.5","7.5",".","5.0",".",".",".",".",".",".",".","."
"","699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","","Course Total","","3","***","","","","","","","","","","","","","","","",""
