"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Westrn Relig&Intellect Hist","208","001","24","3.208","16.7","33.3","45.8",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","26","3.231","23.1","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","38","3.526","50.0","28.9","13.2","2.6","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","13","3.077","23.1","23.1","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".","."
"Religion in South Asia","274","001","55","3.491","32.7","45.5","9.1","7.3","3.6",".",".",".",".",".",".",".",".","1.8",".","."
"Prophets of the Bible","332","001","47","3.309","34.0","27.7","25.5","4.3","4.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"The Reformation","334","001","10","3.621","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit: Pauline Christianity","361","001","53","3.570","45.3","32.1","13.2",".","1.9",".","1.9","3.8",".",".",".",".",".","1.9",".","."
"Introduction to Buddhism","364","001","117","3.789","80.3","6.8","2.6",".",".",".","3.4","6.8",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","10","3.100","10.0","30.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","377","001","31","3.333","19.4","45.2","25.8",".","3.2","3.2",".",".",".",".",".",".",".","3.2",".","."
"","400","001","15","3.556","20.0","40.0","13.3",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"","400","002","7","3.800","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","004","15","3.724","53.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Topics in Relig St-Humanities","","Course Total","42","3.681","45.2","31.0","9.5","2.4",".",".",".","9.5",".",".",".",".",".",".","2.4","."
"Thought of Gandhi","402","001","129","3.272","14.0","38.8","28.7","5.4","1.6",".","1.6","6.2",".",".",".",".",".","3.9",".","."
"Survey of Tibetan Buddhism","421","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Milton","434","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","17","3.294","23.5","23.5","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","21","3.066","28.6","4.8","33.3","4.8","23.8",".",".","4.8",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","19","3.342","47.4","15.8","21.1","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"","620","001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies in Religions of Asia","","Course Total","11","3.750","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Proseminar in Buddhist Thought","650","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
