"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101
001","102","3.688","68.6","6.9","8.8","3.9","3.9",".","1.0","2.0",".",".",".",".","1.0",".","2.9","1.0"
"Envir St-Social Perspective","112
001","237","3.759","73.4","17.3","3.8","3.0","1.3","0.4","0.8",".",".",".",".",".",".",".",".","."
"","120
001","25","3.100","28.0","8.0","28.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","120
002","53","2.792","17.0","13.2","22.6","24.5","17.0","1.9","3.8",".",".",".",".",".",".",".",".","."
"Global Phys Environments","Course Total","78","2.891","20.5","11.5","24.4","25.6","14.1","1.3","2.6",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126
001","33","3.788","84.8","6.1","3.0",".","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127
001","24","2.708","20.8","8.3","12.5","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"Resources and People","139
001","32","2.547","9.4","9.4","18.8","37.5","15.6","3.1","6.3",".",".",".",".",".",".",".",".","."
"Directed Study","199
033","30","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","11","3.400","18.2","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","9.1","."
"Elec-op&Micro Remote Sensng","302
001","6","3.200",".","33.3","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","339
001","28","2.963","21.4","14.3","17.9","21.4","21.4",".",".","3.6",".",".",".",".",".",".",".","."
"","339
002","46","2.543","10.9","13.0","19.6","21.7","21.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","74","2.699","14.9","13.5","18.9","21.6","21.6","5.4","2.7","1.4",".",".",".",".",".",".",".","."
"Environment&Global Economy","344
001","21","3.225","33.3","14.3","28.6","9.5","4.8","4.8",".","4.8",".",".",".",".",".",".",".","."
"Wetlands Ecology","361
001","30","3.183","26.7","16.7","36.7","13.3","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","27","3.704","70.4","3.7","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","8","3.375","75.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","400
003","30","3.400","26.7","46.7","20.0",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"","400
004","11","3.318","63.6","9.1",".",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","005
400","15","3.143","40.0","13.3","20.0",".","13.3",".","6.7","6.7",".",".",".",".",".",".",".","."
"","400
006","20","2.868","30.0",".","30.0","5.0","25.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","Course Total","111","3.339","46.8","16.2","19.8","1.8","9.0","1.8","2.7","1.8",".",".",".",".",".",".",".","."
"Digital Orthophotography","405
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441
001","15","3.269","40.0","13.3","20.0","6.7",".",".","6.7","6.7",".",".",".",".","6.7",".",".","."
"Environmental Sys Concepts","461
001","11","3.455","27.3","54.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Environmental Health","471
001","50","3.400","40.0","22.0","22.0","10.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472
001","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","8","3.125","37.5",".","50.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","511
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","511
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Renewable Resources Policy","515
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment-Environ Impact","575
001","22","3.318","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 152 of 401",""
