"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"History of North Africa","440
001","34","2.768","5.9","17.6","17.6","38.2","17.6",".",".","2.9",".",".",".",".",".",".",".","."
"History of Southern Africa","446
001","41","3.165","19.5","22.0","48.8","4.9",".","2.4","2.4",".",".",".",".",".",".",".",".","."
"Japan-Age of the Samurai","454
001","69","3.597","55.1","15.9","15.9","2.9","5.8",".",".","2.9",".",".",".",".",".",".","1.4","."
"Hist SE Asia Since 1800","458
001","37","3.238","16.2","48.6","18.9",".","5.4","2.7","2.7","5.4",".",".",".",".",".",".",".","."
"The American West to 1850","461
001","120","3.482","39.2","30.8","13.3","5.0","2.5",".","1.7","7.5",".",".",".",".",".",".",".","."
"Multi-Racial Soc:Latin Amer","533
001","25","3.460","32.0","36.0","28.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Writing Tribal Histories","546
001","10","3.550","40.0","50.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Mexican Revolution","557
001","39","3.347","17.9","41.0","23.1","7.7","2.6",".",".","7.7",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","30","2.731","3.3","6.7","40.0","20.0","13.3","3.3",".","13.3",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","13","3.385","46.2",".","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hist-American Librarianship","569
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
001","16","3.500","43.8","50.0",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","600
002","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
600","12","3.375","66.7","8.3","8.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","600
004","15","3.500","40.0","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600
005","16","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","600
006","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
007","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
008","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","14","3.286","21.4","35.7","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","600
011","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
012","16","3.625","62.5","6.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600
013","15","3.367","33.3","13.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600
014","15","3.533","46.7","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600
015","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","212","3.578","50.0","28.3","14.2","6.1","0.5",".","0.9",".",".",".",".",".",".",".",".","."
"Amer Abroad-Hist Dimension","607
001","18","3.361","22.2","61.1","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis Colloquium","690
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
