"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"English Grammar in Use","325","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to the Syntax of English","329","001","","13","3.462","30.8","46.2","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","18","3.667","61.1","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","16","3.500","50.0","18.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","36","3.347",".","72.2","25.0","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","003","","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"TESOL Workshops","","Course Total","","48","",".",".",".",".",".",".",".",".",".","97.9","2.1",".",".",".",".","."
"Beowulf","359","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","19","3.139","15.8","31.6","26.3","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","","24","3.563","41.7","45.8","4.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","23","2.761",".","21.7","34.8","17.4","26.1",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outstandg Figures-16thc Lit","401","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"A Theme in 16th C Eng Lit","402","001","","26","3.750","80.8","11.5","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Shakespeare","417","001","","28","3.500","46.4","21.4","21.4","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Milton","434","001","","21","3.167","28.6","38.1","19.0","4.8",".",".","9.5",".",".",".",".",".",".",".",".","."
"English Lit, 1660-1745","444","001","","33","3.094","21.2","6.1","48.5","12.1","9.1",".",".","3.0",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","15","3.533","66.7","13.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Intell Opinion-19c Eng Lit","461","001","","33","3.409","42.4","15.2","27.3","12.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","468","001","","13","3.385","38.5","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Victorian Poetry","473","001","","26","3.620","61.5","19.2","11.5",".",".",".","3.8","3.8",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","","13","3.269","23.1","38.5","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","27","3.241","22.2","33.3","37.0",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Mod British Lit Since 1914","507","001","","27","3.370","18.5","51.9","18.5","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Recent Fiction in English","511","009","","30","3.121","16.7","16.7","43.3","13.3","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"Recent Poetry in English","512","009","","30","3.103","26.7","16.7","40.0","3.3","3.3",".","6.7","3.3",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","516","008","","29","3.431","37.9","20.7","31.0","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Postcolonial Theatre","523","001","","14","3.143","21.4","35.7","28.6","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Studies in Criticism","550","001","","22","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","33","3.652","60.6","27.3","9.1",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","31","3.274","19.4","35.5","29.0","12.9","3.2",".",".",".",".",".",".",".",".",".",".","."
"Lit-Jewish Identity in Amer","593","001","","15","3.333","33.3","13.3","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595","001","","12","3.208","25.0","8.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 19th C Amer Lit","626","002","","29","3.862","79.3","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 204 of 401",""
