"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","","",""
"NUR","College Total","1855","3.756","63.5","21.3","8.6","","1.3 Name? Name? Name? Name? Name? Name? Name? Name? Name? Name? Name?","","","","","","","","","","","","","","#Name?"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","","I","NW","NR","Other"
"NUR","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","61","3.852","90.2","3.3","1.6","3.3",".","",".","1.6",".","",".",".",".","",".",".",".",".","."
"Sophomore","","81","3.975","95.1","4.9",".",".",".","",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","228","3.625","49.1","33.3","14.0","3.5",".","",".",".",".","",".",".",".","",".",".",".",".","."
"Senior","","1025","3.744","62.1","25.7","10.1","1.4","0.3","",".",".","0.3","",".","0.1",".","",".",".",".",".","."
"Undergraduates","","1395","3.735","63.2","24.7","9.8","1.7","0.2","",".","0.1","0.2","",".","0.1",".","",".",".",".",".","."
"Special","","46","3.792","63.0","10.9","10.9",".",".","",".",".","13.0","",".",".",".","",".",".","2.2",".","."
"Graduate","","394","3.848","64.2","10.9","4.3",".","0.8","",".","0.3","18.5","",".",".",".","",".","1.0",".",".","."
"Prof Yr 4","","20","3.868","75.0","15.0","5.0",".",".","",".",".","5.0","",".",".",".","",".",".",".",".","."
"Professionals","","20","3.868","75.0","15.0","5.0",".",".","",".",".","5.0","",".",".",".","",".",".",".",".","."
"","College Total","1855","3.756","63.5","21.3","8.6","1.3","0.3","",".","0.1","4.5","",".","0.1",".","",".","0.2","0.1",".","."
