"","990
046","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
047","5","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
053","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
056","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Dissertator Research&Thesis","Course Total","30","",".",".",".",".",".",".",".","80.0","",".",".",".","16.7",".","3.3",".","."
"M E
612","Dept. Total","2240","3.209","29.6","21.5","21.2","10.9","6.5","1.1","1.1","6.1","",".",".",".","1.7","0.1","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.319","28.2","33.3","15.4","12.8","7.7",".",".","2.6","",".",".",".",".",".",".",".","."
"Sophomore","","191","3.196","31.9","23.6","22.5","8.9","11.0","1.0","1.0",".","",".",".",".",".",".",".",".","."
"Junior","","488","3.111","27.7","23.2","25.6","13.5","6.8","1.4","1.8",".","",".",".",".",".",".",".",".","."
"Senior","","1078","3.124","26.1","23.6","25.1","14.5","8.1","1.4","1.3",".","",".",".",".",".",".",".",".","."
"Undergraduates","","1796","3.131","27.2","23.7","24.8","13.6","8.0","1.3","1.4","0.1","",".",".",".",".",".",".",".","."
"Special","","25","3.540","48.0","16.0","16.0","4.0","4.0",".",".",".","",".",".",".",".","4.0","4.0","4.0","."
"Graduate","","423","3.757","39.7","12.3","6.1",".","0.2",".",".","31.9","",".",".",".","9.0","0.5","0.2",".","."
"","Dept. Total","2244","3.209","29.8","21.4","21.2","10.9","6.5","1.1","1.1","6.1","",".",".",".","1.7","0.1","0.1","0.0","."
