"","990
087","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
094","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","83","",".",".",".",".",".",".",".","91.6",".",".",".","8.4","",".",".",".","."
"MICROBIO
192","Dept. Total","1246","3.125","30.9","16.0","21.4","7.7","12.4","1.6","0.6","8.6","0.2",".",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","2.558","7.7","7.7","30.8","11.5","34.6","7.7",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","140","2.933","18.6","18.6","27.1","15.7","17.9","0.7","1.4",".",".",".",".",".","",".",".",".","."
"Junior","","255","3.064","30.2","18.8","22.7","10.6","14.1","2.7","0.8",".",".",".",".",".","",".",".",".","."
"Senior","","495","3.174","35.8","17.2","24.2","6.9","12.9","2.0","0.6","0.4",".",".",".",".","",".",".",".","."
"Undergraduates","","916","3.078","30.8","17.6","24.5","9.4","14.6","2.2","0.8","0.2",".",".",".",".","",".",".",".","."
"Special","","15","3.329","26.7","33.3","33.3",".","6.7",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","209","3.691","34.0","4.8","4.8","1.0","1.0",".",".","50.2","1.0",".",".","3.3","",".",".",".","."
"Prof Yr 1","","104","3.129","26.0","22.1","26.0","7.7","17.3",".","1.0",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","106","3.131","26.4","21.7","26.4","7.5","17.0",".","0.9",".",".",".",".",".","",".",".",".","."
"","Dept. Total","1246","3.125","30.9","16.0","21.4","7.7","12.4","1.6","0.6","8.6","0.2",".",".","0.6","",".",".",".","."
