"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","103","001","479","3.098","24.8","21.3","24.6","15.0","10.2","3.3","0.4","0.2",".",".",".",".",".",".",".","."
"","103","002","104","3.126","19.2","27.9","26.9","16.3","5.8","1.9","1.0",".",".",".",".",".",".","1.0",".","."
"Intro-Internatl Relations","","Course Total","583","3.103","23.8","22.5","25.0","15.3","9.4","3.1","0.5","0.2",".",".",".",".",".","0.2",".","."
"Intro-Amer Politcs&Governmt","104","001","487","2.773","14.8","15.4","24.2","18.3","18.3","7.6","0.8","0.2",".",".",".",".","0.4",".",".","."
"","106","001","243","2.946","13.6","22.2","30.9","18.1","9.9","3.7","1.2",".",".",".",".",".",".","0.4",".","."
"","106","002","78","3.318","23.1","35.9","28.2","9.0","1.3",".","1.3",".",".",".",".",".",".",".","1.3","."
"Intro-Comparative Politics","","Course Total","321","3.036","15.9","25.5","30.2","15.9","7.8","2.8","1.2",".",".",".",".",".",".","0.3","0.3","."
"Topics in Polit Anal-Honors","181","001","10","3.450","30.0","50.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to American Politics","184","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Intro to Political Theory","209","001","366","3.158","14.8","29.5","34.4","13.4","4.4","1.1","0.3","1.6",".",".",".",".","0.5",".",".","."
"Law, Politics and Society","217","001","55","3.213","7.3","45.5","38.2","3.6","1.8",".","1.8","1.8",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","97","3.085","18.6","26.8","30.9","8.2","6.2","5.2","1.0","3.1",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","29","3.589","48.3","17.2","31.0",".",".",".",".",".",".",".",".",".",".","3.4",".","."
"SE Asia:Vietnam to Philipns","244","001","14","3.357","7.1","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","19","3.553","63.2","15.8","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","28","3.107","17.9","25.0","42.9","3.6","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","35","3.686","48.6","40.0","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","166","2.930","19.3","16.3","30.1","12.0","16.9","3.0","1.8",".",".",".",".",".","0.6",".",".","."
"Prin-International Law","316","001","43","3.119","20.9","25.6","18.6","20.9","11.6",".",".",".",".",".",".",".",".",".","2.3","."
"Eur Union:Politics&Pol Econ","338","001","60","2.958","21.7","25.0","18.3","13.3","10.0","8.3","1.7","1.7",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","55","2.936","21.8","16.4","25.5","21.8","5.5","7.3","1.8",".",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","27","3.204","33.3","14.8","29.6","11.1","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","000A","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","400","001","45","3.614","60.0","20.0","6.7","2.2","8.9",".",".",".",".",".",".",".",".","2.2",".","."
"","401","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","17","3.412","29.4","35.3","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","37","3.568","40.5","37.8","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","79","2.786","12.7","13.9","24.1","27.8","12.7","5.1","1.3","1.3","1.3",".",".",".",".",".",".","."
"The American Presidency","408","001","165","3.025","16.4","19.4","30.9","17.0","9.1","1.2","1.2","4.2",".",".",".",".","0.6",".",".","."
"Constitutional Law","412","001","255","3.259","20.0","30.2","35.7","5.9","6.7",".",".",".",".",".",".",".",".",".","1.6","."
"American Judicial System","417","001","35","2.853","17.1","17.1","34.3","11.4","8.6",".","8.6","2.9",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","25","3.320","20.0","40.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"Public Administration","443","001","58","3.466","46.6","24.1","17.2",".","12.1",".",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","366","2.920","15.0","16.4","29.0","22.1","12.0","2.7","0.8","1.6",".",".",".",".",".","0.3",".","."
"Politcal Economy-Race in US","462","001","21","3.119","42.9","19.0","19.0","4.8",".","4.8","9.5",".",".",".",".",".",".",".",".","."
"Campaign Finance","466","001","119","3.081","16.0","25.2","32.8","17.6","4.2",".","2.5","1.7",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 279 of 401",""
