"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","176","3.309","38.6","19.9","17.6","8.5","4.5","2.8","1.7","5.7",".",".",".",".","0.6",".",".","."
"","202
001","308","2.676","12.7","17.5","11.7","30.8","18.2","6.2","2.6",".",".",".",".",".",".",".","0.3","."
"","202
002","358","2.876","17.9","23.5","16.8","14.2","21.5","5.0","1.1",".",".",".",".",".",".",".",".","."
"","202
003","358","2.552","15.9","9.5","19.0","13.7","26.5","11.2","3.1","1.1",".",".",".",".",".",".",".","."
"","202
004","275","2.696","15.3","17.8","12.7","23.3","21.5","6.9","2.5",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1299","2.702","15.6","17.0","15.3","19.9","22.1","7.4","2.3","0.3",".",".",".",".",".",".","0.1","."
"","210
001","54","2.685","14.8","5.6","27.8","9.3","40.7","1.9",".",".",".",".",".",".",".",".",".","."
"","210
002","59","2.797","18.6","8.5","32.2","8.5","27.1","3.4","1.7",".",".",".",".",".",".",".",".","."
"","210
003","56","2.723","28.6","3.6","16.1","16.1","25.0","7.1","3.6",".",".",".",".",".",".",".",".","."
"","210
004","49","2.786","18.4","6.1","30.6","16.3","22.4","6.1",".",".",".",".",".",".",".",".",".","."
"","210
005","54","2.778","13.0","16.7","25.9","16.7","20.4","7.4",".",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","272","2.754","18.8","8.1","26.5","13.2","27.2","5.1","1.1",".",".",".",".",".",".",".",".","."
"","211
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Psychology","Course Total","24","3.708","66.7","16.7","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","225
001","39","2.462","2.6","7.7","20.5","23.1","43.6","2.6",".",".",".",".",".",".",".",".",".","."
"","225
002","45","2.656","15.6","8.9","24.4","11.1","31.1","8.9",".",".",".",".",".",".",".",".",".","."
"","225
003","46","2.565","13.0","4.3","30.4","8.7","37.0","2.2","4.3",".",".",".",".",".",".",".",".","."
"","225
004","25","2.460","8.0",".","24.0","20.0","44.0","4.0",".",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","155","2.548","10.3","5.8","25.2","14.8","38.1","4.5","1.3",".",".",".",".",".",".",".",".","."
"Honors Basic Stats for Psych","280
001","17","3.559","47.1","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","281
001","25","3.320","40.0","20.0","20.0","4.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","281
002","26","3.654","50.0","34.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","Course Total","51","3.490","45.1","27.5","15.7","3.9","7.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","10","3.350","30.0","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","386
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
004","25","3.160","20.0","8.0","60.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","411
015","22","3.386","27.3","40.9","13.6","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","411
042","24","3.792","70.8","25.0",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","411
048","21","3.048","42.9","9.5","19.0","9.5","4.8","9.5","4.8",".",".",".",".",".",".",".",".","."
"","411
050","25","3.100","12.0","16.0","64.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"","411
059","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","411
062","23","3.696","60.9","26.1","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","411
065","14","3.308","42.9","14.3","14.3",".","21.4",".",".",".",".",".",".",".",".","7.1",".","."
"","411
067","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
070","14","3.607","35.7","57.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","411
076","18","3.500","38.9","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","411
077","20","3.475","35.0","40.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","238","3.462","44.1","22.7","22.3","5.0","3.4","1.3","0.4","0.4",".",".",".",".",".","0.4",".","."
"Language, Mind, and Brain","413
001","122","2.831","17.2","10.7","33.6","9.0","20.5","3.3","2.5","0.8",".",".",".",".",".","2.5",".","."
"Cognitive Psychology","414
001","130","2.791","6.9","12.3","38.5","23.8","11.5","3.8","0.8","0.8",".",".",".",".",".","0.8","0.8","."
"Animal Behavior-Primates","450
001","308","3.178","17.5","32.5","27.6","12.3","7.5","1.3",".","1.0",".",".",".",".",".","0.3",".","."
