"","999
056","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
066","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
067","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","10","4.000","90.0",".",".",".",".",".",".","10.0","",".",".",".",".",".",".",".","."
"ENGLISH
350","Dept. Total","4898","3.420","36.4","25.2","19.9","5.5","2.8","0.4","1.1","1.9","",".","5.8","0.3","0.5","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1068","3.387","30.1","31.0","21.6","5.2","2.1","0.4","1.5",".","",".","7.1","0.6",".","0.1","0.3",".","."
"Sophomore","","1322","3.446","39.3","27.9","20.7","5.7","2.5","0.5","0.8",".","",".","2.5","0.2",".",".",".",".","."
"Junior","","919","3.327","32.8","26.7","24.2","7.1","3.6","1.0","1.3","0.1","",".","3.0","0.2",".",".","0.1",".","."
"Senior","","1094","3.388","39.2","23.5","21.4","6.3","4.5","0.3","1.3","0.5","",".","2.8","0.2",".",".",".",".","."
"Undergraduates","","4403","3.392","35.7","27.3","21.8","6.0","3.1","0.5","1.2","0.2","",".","3.8","0.3",".","0.0","0.1",".","."
"Special","","97","3.605","20.6","6.2","6.2","3.1",".",".",".","11.3","",".","50.5","2.1",".",".",".",".","."
"Graduate","","398","3.903","48.5","6.5","2.0","0.3",".",".",".","18.8","",".","16.8",".","6.3","0.8",".",".","."
"","Dept. Total","4898","3.420","36.4","25.2","19.9","5.5","2.8","0.4","1.1","1.9","",".","5.8","0.3","0.5","0.1","0.1",".","."
