"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.963","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"821
Issues-Mthds Teachng Fr&Itl","001","","20","3.951","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"825
Grammaire Et Style","001","","12","3.750","75.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"932
Seminar-18th C","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"935
Smr-19th C Novel","001","","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","21","",".",".",".",".",".",".",".","81.0",".",".",".","19.0",".",".",".","."
